x y z track_id event_id
-109.66082 92.8203 -91.88672 0 0
-124.590965 107.01249 -102.4138 0 0
-139.50766 121.203804 -112.57381 0 0
-154.51762 135.30241 -122.62249 0 0
-169.53838 149.37996 -132.784 0 0
-184.65048 163.36526 -143.02567 0 0
-199.9325 177.1878 -153.2925 0 0
-215.2792 190.93999 -163.43954 0 0
-230.62607 204.67873 -173.52197 0 0
-246.06444 218.32246 -183.81526 0 0
-261.51578 231.94037 -193.88861 0 0
-277.152 245.37943 -203.99316 0 0
-292.67603 258.90228 -214.41177 0 0
-308.57202 272.0803 -224.62793 0 0
-324.19385 285.4835 -234.81226 0 0
-340.1103 298.60974 -244.92996 0 0
-355.9356 311.79788 -255.20996 0 0
-371.90466 324.8411 -265.46884 0 0
-388.209 337.5728 -275.8578 0 0
-404.1418 350.60788 -285.95248 0 0
-420.40253 363.3373 -295.83792 0 0
-436.5177 376.1708 -306.0277 0 0
-452.89227 388.7583 -316.4744 0 0
-469.2794 401.3122 -326.72308 0 0
-485.6565 413.85068 -336.80344 0 0
-502.30185 426.13638 -346.93665 0 0
-518.9328 438.40973 -357.29938 0 0
-535.5717 450.65048 -367.50314 0 0
-552.21954 462.8568 -377.68796 0 0
-569.0312 474.89838 -388.01782 0 0
-585.8912 486.87167 -398.18442 0 0
-602.80743 498.76935 -408.3235 0 0
-619.7835 510.588 -418.76285 0 0
-636.7305 522.4 -428.93546 0 0
-653.8329 534.05316 -439.08087 0 0
27.337696 126.99534 194.45512 1 0
33.877598 146.56558 227.18814 1 0
40.544327 166.1272 260.2082 1 0
47.39764 185.44136 293.0405 1 0
54.293705 205.07321 326.02594 1 0
61.366978 224.4939 358.7793 1 0
68.64309 243.6271 391.81204 1 0
76.01226 262.86987 424.7464 1 0
83.54001 281.98755 457.83838 1 0
91.14172 301.26328 490.8444 1 0
98.89226 320.44046 523.5798 1 0
106.84287 339.35797 556.59235 1 0
114.93759 358.20044 589.5856 1 0
123.03707 377.39462 622.4656 1 0
