x y z track_id event_id
94.85391 -86.92769 -199.29912 0 0
108.77502 -102.10063 -206.96692 0 0
122.529655 -117.42924 -214.3716 0 0
136.17792 -132.85846 -222.21062 0 0
149.80562 -148.3033 -229.73509 0 0
163.38155 -163.7915 -237.22183 0 0
176.89816 -179.3288 -244.80313 0 0
190.12445 -195.15047 -252.51752 0 0
203.57074 -210.73376 -259.92178 0 0
216.83801 -226.48578 -267.61432 0 0
229.82045 -242.52032 -274.92102 0 0
242.85275 -258.48587 -282.68207 0 0
255.79544 -274.52753 -290.32236 0 0
268.51865 -290.78528 -297.82587 0 0
281.26862 -306.99298 -305.31827 0 0
293.88144 -323.32715 -312.88895 0 0
306.61484 -339.50278 -320.41937 0 0
319.02335 -356.01093 -328.11276 0 0
331.4186 -372.50635 -335.5423 0 0
343.79282 -388.9952 -343.13745 0 0
355.92676 -405.725 -350.94128 0 0
368.0795 -422.4011 -358.3435 0 0
380.00677 -439.30237 -366.07367 0 0
392.04202 -456.04324 -373.5577 0 0
403.7765 -473.09708 -381.11514 0 0
415.5372 -490.08228 -388.76947 0 0
427.1778 -507.16898 -396.29636 0 0
438.70914 -524.34406 -403.96832 0 0
450.15723 -541.5758 -411.3684 0 0
461.57404 -558.8002 -419.08765 0 0
472.79367 -576.21716 -426.60373 0 0
484.0367 -593.5577 -434.3217 0 0
495.04822 -611.1329 -442.0106 0 0
505.94366 -628.8017 -449.69363 0 0
516.8749 -646.37396 -456.95074 0 0
-82.99473 -97.06284 -452.76974 1 0
-94.80944 -113.94594 -498.30655 1 0
-106.40566 -131.02089 -543.8377 1 0
-117.96389 -148.06369 -589.36804 1 0
-129.37135 -165.20787 -634.9276 1 0
-140.60843 -182.47667 -680.4563 1 0
-151.68881 -199.8509 -726.2517 1 0
-162.51038 -217.46506 -771.777 1 0
-173.21199 -235.13434 -817.2318 1 0
-183.87306 -252.74512 -862.9066 1 0
-194.26718 -270.60413 -908.5654 1 0
-204.69888 -288.28528 -954.21075 1 0
-214.55516 -306.65137 -999.7395 1 0
-224.51248 -324.74393 -1045.5234 1 0
-234.34047 -342.88388 -1091.1605 1 0
-243.93454 -361.222 -1136.9835 1 0
-253.4335 -379.55167 -1182.667 1 0
-262.71405 -398.0537 -1228.3401 1 0
-271.69504 -416.85306 -1274.2097 1 0
-280.78537 -435.31998 -1320.0972 1 0
-289.48752 -454.21805 -1365.9324 1 0
-298.03836 -473.18057 -1411.8135 1 0
-306.5332 -492.05124 -1457.7953 1 0
-314.7712 -511.14737 -1503.596 1 0
-322.796 -530.39966 -1549.4358 1 0
-330.74695 -549.5762 -1595.4991 1 0
-338.48264 -568.9066 -1641.5609 1 0
-346.02716 -588.34973 -1687.5414 1 0
-353.42154 -607.8334 -1733.7584 1 0
-360.67758 -627.33295 -1779.6831 1 0
-367.62457 -647.14386 -1825.8546 1 0
-374.478 -666.8879 -1872.0818 1 0
-381.12347 -686.76306 -1918.4636 1 0
-387.68085 -706.5502 -1964.4746 1 0
-393.98132 -726.5519 -2010.7773 1 0
43.41236 143.07207 -130.60785 2 0
50.44819 162.19278 -127.97854 2 0
57.42799 181.82254 -125.26236 2 0
64.655464 200.98775 -122.49864 2 0
71.891594 220.43933 -119.76049 2 0
79.35195 239.51161 -117.21742 2 0
86.89687 258.6332 -114.42886 2 0
94.53978 277.76 -111.51082 2 0
102.31596 296.78674 -108.86669 2 0
110.17404 315.86182 -106.271034 2 0
118.12077 334.96185 -103.34084 2 0
126.248375 353.82516 -100.862404 2 0
134.46089 372.72314 -98.026436 2 0
142.74641 391.68484 -95.34191 2 0
151.22046 410.3924 -92.71285 2 0
