x y z track_id event_id
-123.07689 44.02098 -67.536514 0 0
-140.91527 54.64555 -61.99375 0 0
-158.39153 65.58933 -56.52543 0 0
-175.65314 76.80339 -51.113766 0 0
-192.76985 88.257835 -45.538563 0 0
-209.99059 99.831314 -39.937687 0 0
-226.79945 111.76246 -34.635204 0 0
-243.62135 123.84568 -28.793682 0 0
-260.07532 136.27022 -23.363697 0 0
-276.4977 148.86174 -17.909433 0 0
-292.8415 161.63803 -12.320749 0 0
-308.82397 174.75298 -6.723741 0 0
-324.8618 187.97054 -1.149644 0 0
-340.3456 201.63977 4.379218 0 0
-356.107 215.26994 9.931348 0 0
-371.43808 229.27788 15.440746 0 0
-386.71753 243.43192 21.344559 0 0
-401.66028 257.9073 26.57058 0 0
-416.6178 272.477 32.19003 0 0
-431.41232 287.24905 37.937164 0 0
-445.9871 302.2581 43.480125 0 0
-460.33148 317.5094 48.985107 0 0
-474.267 333.12653 54.701267 0 0
-488.23212 348.80078 60.34117 0 0
-502.07587 364.63028 66.11172 0 0
-515.43677 380.87585 71.65234 0 0
-528.8859 397.11542 77.286705 0 0
-542.1093 413.5744 82.780876 0 0
-554.90375 430.4075 88.60782 0 0
-567.5938 447.36337 94.22505 0 0
-580.20154 464.41653 100.00208 0 0
-592.39557 481.8278 105.74705 0 0
-604.5602 499.28305 111.44266 0 0
-616.1323 517.24365 117.14392 0 0
-627.713 535.2075 122.703674 0 0
95.14558 105.22314 1221.5032 1 1
109.35602 120.14155 1428.5443 1 1
123.484 135.1372 1635.5068 1 1
137.6595 150.06783 1842.7062 1 1
151.4973 165.35269 2049.711 1 1
165.44489 180.5022 2256.6663 1 1
-135.00406 -51.367813 -160.63226 2 1
-154.42816 -58.565952 -154.75002 2 1
-173.59349 -65.60805 -149.01712 2 1
-193.26381 -72.20173 -143.3281 2 1
-212.78658 -78.5895 -137.59705 2 1
-232.46152 -84.65542 -131.87778 2 1
-252.56923 -90.296715 -125.720375 2 1
-272.58792 -95.69978 -120.251 2 1
-292.6699 -100.80558 -114.41303 2 1
-312.78134 -105.62185 -108.66031 2 1
-332.94864 -110.135506 -102.854645 2 1
-353.28693 -114.30555 -97.0352 2 1
-373.83374 -118.11898 -91.30343 2 1
-394.3911 -121.63671 -85.48646 2 1
-415.05713 -124.82472 -79.755974 2 1
-435.7403 -127.70766 -73.76461 2 1
-456.33545 -130.31133 -67.895454 2 1
-477.12518 -132.55064 -62.01001 2 1
-498.094 -134.4299 -56.33952 2 1
-518.97876 -136.0179 -50.54452 2 1
-540.01605 -137.24821 -44.844475 2 1
-561.0092 -138.16873 -38.609337 2 1
-582.2246 -138.71082 -32.80807 2 1
-603.44086 -138.92673 -26.870495 2 1
-624.5772 -138.83057 -20.71344 2 1
-645.6767 -138.40733 -15.05496 2 1
-667.031 -137.59227 -9.225463 2 1
-688.2707 -136.46109 -3.103478 2 1
-709.71936 -134.94595 2.7457774 2 1
-731.0573 -133.10669 8.923066 2 1
-752.4354 -130.91103 14.870562 2 1
-773.8056 -128.36465 20.70868 2 1
-795.0682 -125.47998 26.949175 2 1
-816.42236 -122.221504 32.912315 2 1
-838.1135 -118.553795 38.75981 2 1
113.63371 81.85711 -154.05254 3 1
132.02971 91.38982 -147.4316 3 1
150.3465 100.75776 -140.84518 3 1
169.01361 109.65634 -133.79643 3 1
187.9546 118.13646 -127.35777 3 1
206.92058 126.34765 -120.6548 3 1
226.16223 134.1256 -113.70331 3 1
245.55194 141.5419 -107.03128 3 1
265.05692 148.60674 -100.427444 3 1
284.94278 155.16605 -93.4929 3 1
304.7605 161.46072 -86.79169 3 1
324.94376 167.2505 -79.88781 3 1
345.0026 172.78304 -73.092224 3 1
365.5919 177.72144 -66.22688 3 1
386.03458 182.39511 -59.60446 3 1
406.7215 186.6062 -52.62507 3 1
427.34796 190.4883 -45.86579 3 1
448.2658 193.8751 -38.892212 3 1
469.3233 196.83032 -31.911755 3 1
490.6218 199.3069 -25.086344 3 1
511.71542 201.47868 -18.011862 3 1
532.9961 203.17783 -11.28536 3 1
554.3749 204.43373 -4.2679377 3 1
575.9867 205.1918 2.7689657 3 1
597.6506 205.5129 9.444746 3 1
619.41785 205.37213 16.627735 3 1
641.1308 204.8141 23.776989 3 1
662.7266 203.84676 31.094017 3 1
684.6592 202.32268 38.24187 3 1
706.62195 200.33192 45.121887 3 1
728.5963 197.87187 52.37778 3 1
750.5483 194.94319 59.66834 3 1
772.6185 191.50188 66.88398 3 1
794.75586 187.55602 74.13943 3 1
816.576 183.18616 81.65304 3 1
102.478325 92.508125 117.096664 4 2
120.1101 103.21241 124.84117 4 2
138.05157 113.46539 132.97427 4 2
156.24117 123.31124 140.88892 4 2
174.72086 132.70741 148.79625 4 2
193.41794 141.70047 157.12814 4 2
212.41832 150.21756 164.84978 4 2
231.54587 158.3738 172.74884 4 2
251.0736 165.97153 180.86055 4 2
270.71024 173.19867 188.77725 4 2
290.4389 180.04884 196.76302 4 2
310.63614 186.27919 204.85518 4 2
330.59607 192.30542 213.00844 4 2
351.2982 197.54205 221.22673 4 2
371.5717 202.64748 229.28552 4 2
392.43262 207.04332 237.23117 4 2
413.35504 211.0097 245.54701 4 2
434.36926 214.5163 253.62758 4 2
455.64478 217.46883 261.82358 4 2
477.12735 219.8876 270.1264 4 2
498.45636 221.92601 278.30005 4 2
520.2167 223.30898 286.82547 4 2
542.03467 224.1951 294.91638 4 2
563.96875 224.54782 303.26462 4 2
585.65173 224.4975 312.08688 4 2
607.89764 223.71791 320.36887 4 2
629.9155 222.49884 329.03964 4 2
652.1433 220.66725 337.46167 4 2
674.4016 218.27623 345.9952 4 2
696.75134 215.2942 354.90878 4 2
719.0739 211.74632 363.29523 4 2
741.80444 207.4961 372.02438 4 2
764.0041 202.79712 380.85516 4 2
786.3976 197.43146 389.78632 4 2
809.0387 191.382 398.83713 4 2
79.25553 117.200745 165.76913 5 2
92.808495 132.69247 181.2019 5 2
106.31005 148.31386 196.46878 5 2
120.03763 163.67065 211.8503 5 2
133.85983 178.94904 227.16435 5 2
147.86806 194.02731 242.60686 5 2
161.81145 209.23363 258.03052 5 2
176.01366 224.14508 273.0968 5 2
190.23488 239.0702 288.58813 5 2
204.73157 253.68576 304.08633 5 2
218.94904 268.6782 319.19827 5 2
233.63098 283.12915 334.87332 5 2
248.20683 297.73624 350.07004 5 2
262.99524 312.11252 365.32037 5 2
277.80814 326.4819 380.8067 5 2
292.88843 340.55817 396.16473 5 2
307.8508 354.78995 411.67328 5 2
323.14178 368.65924 426.8473 5 2
338.2084 382.79797 442.2274 5 2
353.59604 396.5837 457.5556 5 2
369.03012 410.3273 472.94998 5 2
384.50702 424.0303 488.4132 5 2
400.21964 437.47928 503.95483 5 2
415.86734 451.00308 519.3272 5 2
431.67484 464.35464 534.9212 5 2
447.6343 477.54303 550.2134 5 2
463.49493 490.83423 565.5686 5 2
479.6498 503.8095 581.0239 5 2
495.87793 516.7032 596.41315 5 2
512.28796 529.40137 611.85004 5 2
528.4907 542.30444 627.26953 5 2
545.1545 554.72394 642.6021 5 2
561.6218 567.3317 658.2449 5 2
578.27795 579.7339 673.65753 5 2
594.9133 592.1402 689.20715 5 2
-146.52826 -11.311271 176.08067 6 3
-167.37303 -10.68851 212.12415 6 3
-187.85336 -9.654851 248.342 6 3
-208.74022 -8.165287 284.82263 6 3
-229.0874 -6.2594333 320.94888 6 3
-249.8346 -3.9029567 357.60156 6 3
-270.4304 -1.1118242 393.786 6 3
-291.03882 2.1179638 430.44577 6 3
-311.3733 5.7909694 466.83316 6 3
-331.77682 9.905563 503.33682 6 3
-352.27307 14.457473 540.00134 6 3
-372.70212 19.450672 576.85406 6 3
-393.15332 24.880169 613.5492 6 3
-413.0668 30.785046 650.3812 6 3
-433.32056 37.10584 687.44946 6 3
-453.18964 43.898796 724.3739 6 3
-472.99283 51.13948 761.56146 6 3
-492.88376 58.808537 798.8982 6 3
-512.8298 66.903656 836.19965 6 3
-532.1147 75.52057 873.76074 6 3
