Loss,Acceracy,Preciion,Recall
0.012538429905294574,0.9906301489515164,0.9532943019708089,1.0
0.009011305191836853,0.9938493809678209,0.9688411384130602,1.0
0.008229948952045691,0.9925309185233221,0.9624129003255051,1.0
0.008306388537083487,0.9934837847316424,0.9670500648291438,1.0
0.008315936093817332,0.9911992218259299,0.9560061525230306,1.0
0.00772867218375073,0.993023894443599,0.9648064228069736,1.0
0.007345318836658927,0.9930106601907056,0.9647420116664303,1.0
0.007269339307926462,0.9934755133235841,0.9670096194061062,1.0
0.006848761531457837,0.993326627978534,0.9662821798729522,1.0
0.006229748711630237,0.9931512741276973,0.9654268201025504,1.0
0.006718801495361341,0.9920478682927152,0.9600790612309302,1.0
0.006292198243900202,0.9951132521191347,0.9750843454790823,1.0
0.005658574379714472,0.9941752744453194,0.9704433084019576,1.0
0.005475693418744153,0.9949544410844147,0.9742954422869471,1.0
0.005906471933703869,0.99567405358549,0.9778804104177768,1.0
0.005488538528526468,0.9958245932121517,0.9786337086260899,1.0
0.005340635010423804,0.9953018402228648,0.976022828968475,1.0
0.005285758881072979,0.9951876947916598,0.9754545838079568,1.0
0.00520279230878389,0.993167816943814,0.9655074497227233,1.0
0.005022291206447075,0.9945772648769545,0.9724269035362202,1.0
0.004852053795808128,0.9931893226047657,0.9656122883656441,1.0
0.004626113087558354,0.9951413749065331,0.975224180255266,1.0
0.00435768474537846,0.9956955592464416,0.9779879534380076,1.0
0.004120287309903818,0.9955632167175082,0.9773265250913026,1.0
0.00389138459311133,0.9969395790184155,0.9842494210598011,1.0
0.0037723503162643674,0.9959933299365418,0.979479445555292,1.0
0.004756522145596266,0.9971430556566505,0.9852812081852506,1.0
0.004533388620807923,0.9964449488165269,0.9817502441509914,1.0
0.0038927226132156128,0.9967873851101421,0.9834790893932691,1.0
0.004182862991999303,0.9963341119485453,0.9811919675442616,1.0
0.003539647217008418,0.9968452849665504,0.9837720082033478,1.0
0.004049848567166399,0.9961074753677468,0.980052391085038,1.0
0.0038225142420352702,0.996549168558062,0.9822757706556096,1.0
0.0037346539709376104,0.9974474434731974,0.9868287394685401,1.0
0.0036228126597624005,0.9968552106562204,0.983822240377169,1.0
0.003800886175179455,0.9961190553390284,0.9801105534454694,1.0
0.0034707665487076155,0.9963225319772635,0.981133676768877,1.0
0.0036120462103489057,0.9974424806283624,0.9868034689975417,1.0
0.0031082312470867434,0.9968088907710937,0.9835878674437402,1.0
0.0035634169470202845,0.9976261058872574,0.9877393392059193,1.0
0.0031764110469833084,0.9973878893351773,0.9865255792123565,1.0
0.0040333370468579235,0.9960826611435718,0.9799277806974418,1.0
0.004233797865433319,0.9957402248499566,0.9782113876172989,1.0
0.0035088069522004974,0.9969081476677938,0.9840902319642477,1.0
0.002967078490078815,0.9973630751110023,0.9863993174061434,1.0
0.003909330929288574,0.9964681087590903,0.9818669792170952,1.0
0.003863555946258462,0.9966451168915387,0.982760086369587,1.0
0.0029849698913000924,0.9960892782700185,0.979961007035687,1.0
0.0031941087150023253,0.9965756370638487,0.9824093273054828,1.0
0.003306614630398274,0.9959867128100951,0.9794462518639013,1.0
0.003640401471639052,0.9970636501392905,0.9848783022806076,1.0
0.002804714542268942,0.9974160121225757,0.9866687150075106,1.0
0.003487043409965866,0.9965425514316153,0.9822423871669386,1.0
