Loss,Acceracy,Preciion,Recall
0.003087505688807661,0.9965622654836004,0.9830333070072714,1.0
0.002659970375087661,0.9976106917406083,0.9881464042267787,1.0
0.0018609108685528294,0.9971968392707368,0.9861217353294722,1.0
0.0016861922591592051,0.9977376064980356,0.9887689694844684,1.0
0.0016736499309211337,0.997340308126959,0.9868226802996337,1.0
0.0014300456040863146,0.9973734163245487,0.987144420131291,0.9998337765957447
0.0016062612191983915,0.9974892950161126,0.9886210962134299,0.9988918439716312
0.0020210060301230574,0.9972796097647111,0.9875921005779397,0.9988918439716312
0.001874209329684423,0.9977817507614886,0.9889856978464573,1.0
0.001494709288334499,0.9983666622522404,0.9918663442514838,1.0
0.0015409135270861693,0.9979086655189158,0.98960932145305,1.0
0.0014364398149596777,0.99700370811813,0.9851797265209203,1.0
0.0015447123915769876,0.9980852425727277,0.9904782811513871,1.0
0.0016333299631774675,0.998532203240189,0.9932272451957491,0.9994459219858156
0.001817463002652013,0.9987749966891802,0.9938873285973897,1.0
0.0012252044360450652,0.9982507835606763,0.9912943179633648,1.0
0.0015915419300290524,0.9983832163510352,0.9919481161889582,1.0
0.001464261719704934,0.9982563015936079,0.9913215423486763,1.0
0.001314982393788731,0.9976658720699245,0.9884169884169884,1.0
0.0014482194106624645,0.9974948130490443,0.9875786593707251,1.0
0.0013260829524681737,0.9982563015936079,0.9913215423486763,1.0
0.0013371364964041277,0.9983611442193087,0.9918390899348776,1.0
0.0016421620107576018,0.9983390720875822,0.9917300876445861,1.0
0.0011947646954831726,0.9983225179887874,0.9916483516483516,1.0
0.0012077646470528894,0.9984218425815565,0.9921389698202407,1.0
0.0013287418089177143,0.9983390720875822,0.9917300876445861,1.0
0.0012486885655588204,0.9976162097735399,0.988173455978975,1.0
0.0014231845028968694,0.9983887343839668,0.9919753764977465,1.0
0.0011206882156381782,0.9982176753630866,0.9911310030478596,1.0
0.0013342255958455748,0.9985211671743257,0.992630073699263,1.0
0.0012641924500660805,0.9981514589679071,0.9908045345996541,1.0
0.001509037276235696,0.9985818655365736,0.9929304321514043,1.0
0.0014279872321536198,0.9984549507791463,0.9923026171101825,1.0
0.0011834431799953953,0.9982783737253343,0.991430454845089,1.0
0.0013864086235662399,0.9986149737341632,0.9930943406608523,1.0
0.0011863589089833632,0.9983776983181035,0.9919208573784006,1.0
0.001268892713051173,0.9985266852072573,0.9926573715040014,1.0
0.0012163027030848233,0.9979638458482321,0.9898807075277664,1.0
0.0011550078682375897,0.9988908753807443,0.9944623522605174,1.0
0.0010301826372155379,0.997919701584779,0.9896635867628109,1.0
0.0012673990298935679,0.9986867081622743,0.9934496614741014,1.0
0.0012151863425294454,0.9982783737253343,0.991430454845089,1.0
0.0012346561659485034,0.9980686884739328,0.9903967513581737,1.0
0.0011424956234077398,0.9977651966626937,0.9889044135777102,1.0
0.0010984182802479025,0.9981845671654969,0.9909677419354839,1.0
0.0012510766514606075,0.9983114819229241,0.9915938684687654,1.0
0.0010749794511528826,0.9987860327550435,0.9939420641039762,1.0
0.0010947275313135053,0.9976824261687194,0.9884981925731187,1.0
0.0011799010608124912,0.9988301770184964,0.9941610664316404,1.0
0.001308854943163169,0.9982452655277446,0.9912670950733234,1.0
0.001242069790270242,0.998168013066702,0.9908861315471615,1.0
0.0010084549475790742,0.9985046130755308,0.9925481892924904,1.0
0.0013931386158323482,0.9982673376594712,0.9913759956056029,1.0
0.0010528886299705066,0.9983611442193087,0.9918390899348776,1.0
0.000869132432690094,0.9982011212642917,0.9910493657679424,1.0
0.0009641295761658902,0.9982894097911976,0.9914849200681206,1.0
0.001111052333905848,0.9985487573389839,0.9927665777386617,1.0
0.001330523461697989,0.998052134375138,0.9903152349858707,1.0
0.0010474465634511684,0.9989736458747186,0.9948734909872664,1.0
0.0010744995485168017,0.9988688032490178,0.9943527726508912,1.0
0.0014114068695042599,0.9986204917670949,0.9931216640070434,1.0
0.00108138709051283,0.9985542753719154,0.992793883051873,1.0
0.0011556011622659364,0.9984770229108727,0.9924117452985813,1.0
0.0011841495184567714,0.9983721802851719,0.9918936000659504,1.0
0.0011755543701162554,0.9984052884827617,0.9920571664147313,1.0
0.001125912186858581,0.9985211671743257,0.992630073699263,1.0
0.001126426039772923,0.997340308126959,0.9868226802996337,1.0
0.0012398119539414308,0.9979859179799585,0.9899893036395052,1.0
0.0010121452772961805,0.9990729704674878,0.9953673064195897,1.0
0.0012408238606933862,0.9986701540634795,0.9933676417976167,1.0
0.001045959444696304,0.9982618196265395,0.9913487682293812,1.0
0.001062567412430196,0.9979362556835739,0.9897449958870305,1.0
0.0011943173399075542,0.9974451507526597,0.9873355398123581,1.0
0.0011792906153251742,0.9990895245662826,0.9954496566559113,1.0
0.0010667167147974917,0.9985984196353683,0.9930123796423659,1.0
0.0009315479443830554,0.9985708294707103,0.992875808004401,1.0
0.0009321695401636784,0.9988025868538384,0.9940241786687963,1.0
0.0010686598607883623,0.9984549507791463,0.9923026171101825,1.0
0.001795600803434354,0.9981404229020439,0.990750144100129,1.0
0.0012536409204949451,0.9985266852072573,0.9926573715040014,1.0
0.000897843406013895,0.9979362556835739,0.9897449958870305,1.0
0.0010504306441206218,0.9986646360305478,0.993340304914965,1.0
0.0011279419998079122,0.9986094557012316,0.9930670188180918,1.0
0.0010719413742897035,0.9985542753719154,0.992793883051873,1.0
0.0009967189387810192,0.9989295016112656,0.9955280737591785,0.999113475177305
0.0010262482013942125,0.9987860327550435,0.9939420641039762,1.0
0.000993478284197928,0.9978810753542577,0.9894736842105263,1.0
0.0011869782333217569,0.9987915507879751,0.993969434118133,1.0
0.001234919807341482,0.9986039376683,0.9930396984786376,1.0
0.0013678720757499313,0.9976106917406083,0.9881464042267787,1.0
0.0011807272982410463,0.9986480819317529,0.9932583032938004,1.0
0.0011276662216524918,0.9985211671743257,0.992630073699263,1.0
0.0008596853371740768,0.9986701540634795,0.9933676417976167,1.0
0.0012545121243212115,0.9985873835695052,0.9929577464788732,1.0
0.0008850335583520064,0.9983114819229241,0.9915938684687654,1.0
0.0012844125505190667,0.9980797245397961,0.9904511030622325,1.0
0.0009269910854501567,0.9987529245574538,0.9937778756676394,1.0
0.0011290060486758844,0.9984935770096676,0.992493607192939,1.0
0.0010314929339282181,0.998096278638591,0.9905326418045608,1.0
