Train_Loss,Test_loss,Acceracy,Preciion,Recall
0.013224408648238751,0.010962880389221634,0.9865065052170553,0.9092327022226073,1.0
0.016129863234236836,0.014181887281592935,0.9818530207394048,0.8820844987487119,0.9993328885923949
0.013730257200804771,0.010518758660861447,0.9871409249001675,0.9147899783753085,0.997808062517869
0.012903301296319114,0.008963417127282203,0.9893791060157155,0.9273747955620386,0.9997140951110264
0.012938102438274654,0.010797396655058644,0.9872858431018936,0.9141686998954339,0.9998093967406843
0.013639055230087252,0.009004884079040494,0.9882777276825969,0.9201964395334561,1.0
0.012922661527627497,0.009918435192084872,0.9885804457039804,0.9224680065086416,0.9995234918517106
0.012590444900852163,0.009982835450209677,0.9889862166688136,0.925819563488557,0.9985228247403031
0.01248868623864837,0.009482283158286009,0.9881489115032848,0.9196107653195407,0.9997140951110264
0.012267036612684024,0.009631886052375194,0.9894338528919232,0.929051431613032,0.9980463165920137
0.012628351929888594,0.009173959965701216,0.9892953754991627,0.9266160367361357,1.0
0.012879166251877905,0.009347617198654916,0.9896302975653742,0.9380935154200959,0.988516153626227
0.013749271234919433,0.009474622665438802,0.9889218085791576,0.9246979984128384,0.9994281902220528
0.012484693610094837,0.008868059138573395,0.9904418394950406,0.9391946671471039,0.9936147908129229
0.013172906487816362,0.013697357760199036,0.9830671132294216,0.8889030125842126,0.9996664442961974
0.013803193156636553,0.009545595715753735,0.9879911116836274,0.9184044112820289,1.0
0.013033715553538059,0.008957577819431512,0.9906189617415947,0.9357609835553473,0.9991899361479081
0.013180705604390823,0.010433039654841802,0.9890506247584696,0.9259275618374558,0.9989040312589346
0.012518331055034651,0.011066589006028759,0.9869122761818885,0.9127613240418119,0.998618126369961
0.012918572988710367,0.008756320235261229,0.9896045343295118,0.9302594171997157,0.9979033641475269
0.011909686560684349,0.01127515925754172,0.9872021125853407,0.9194965776109516,0.9921852663680549
0.012120858754351503,0.009952172997097174,0.9878751771222466,0.9196634520331276,0.9974268559992376
0.011669914875164977,0.010043814964786483,0.988963673837434,0.926580933619602,0.9973792051844087
0.01165753469504125,0.009836782446363941,0.9891891021512302,0.9266379405590542,0.9991184599256647
0.011104153483029223,0.009951549358083867,0.9893372407574391,0.9282818212030575,0.9982369198513295
0.011271998308147886,0.008729288128670305,0.9909635450212547,0.944522631316112,0.991375202515963
0.10432142961319187,0.043821978820487856,0.9447861651423419,0.7172585189981974,0.9764128466596779
0.03832039963686839,0.020697458096159003,0.9752898364034522,0.8461678205930442,0.9987610788144478
0.02561149434535764,0.01849046809133142,0.9792155094679892,0.8667244868459092,1.0
0.027153112565574702,0.01887860513913135,0.9764620636351926,0.8516872628396339,1.0
0.023110959698678924,0.022628246989722052,0.9708939842844261,0.8276623686723973,0.991017821404746
0.022684052920376417,0.016987309488467873,0.9799819657348963,0.8710360285571974,0.9999523491851711
0.024989443315716925,0.09385966132084529,0.8821331959294088,0.6196863024685857,0.33133994091298963
0.05184274398430716,0.020634275150174897,0.9744460904289579,0.8410042679383654,1.0
0.02312139656045474,0.019593005368175605,0.9770578384645111,0.8549254461011978,0.9999523491851711
0.02090186998510035,0.02292635873348142,0.9726845291768647,0.8318864708447299,1.0
0.018715967589232604,0.019353953247579436,0.9771802138348576,0.8555587264054793,1.0
0.01875694134418154,0.014987617821122208,0.9824906608269999,0.8854146886933772,0.9998570475555132
0.01666101385548245,0.021594748926969866,0.9732094551075615,0.8345827285200135,1.0
0.03574445153848501,0.10094801905254523,0.8649233543733092,0.5244755244755245,0.007147622224340036
0.04113137895881664,0.019154634233564137,0.9758340847610459,0.8486123472772878,0.9995234918517106
0.02361104739480652,0.02208981953910552,0.9717151874275409,0.8269530095557088,1.0
0.021791547878528945,0.022599537529361745,0.9738181115548112,0.837731028701449,1.0
0.01846801946987398,0.025623346098000183,0.9683112198892181,0.8100826063460203,1.0
0.01852149016893236,0.020783534738002346,0.9749645755506892,0.8437261287339686,1.0
0.017673196308605837,0.015542445707833395,0.981440808965606,0.8792709751754478,1.0
0.017415397647127975,0.018019325205435355,0.9794087337369574,0.8677996939999173,1.0
0.01714649402303621,0.014983104621836295,0.9828771093649362,0.8875800960094741,0.9999761745925856
0.01657883941923501,0.014188711691725378,0.9842812057194383,0.8958738019510321,0.9999285237777567
0.016058819233148825,0.014985197536104049,0.9832184722401134,0.8895576796727634,1.0
0.016132919795636552,0.015368473768273059,0.9832538966894242,0.8897651148986687,1.0
0.016921749386528972,0.014050221655440205,0.9840622182146077,0.8945248396240489,1.0
0.01648498635593569,0.014193167644552886,0.9831830477908026,0.8893503411450608,1.0
0.016074765892990398,0.015327153520581002,0.9821074326935463,0.8831004881333109,1.0
0.015784747154975777,0.019873371398231636,0.9769934303748551,0.8545484159947878,1.0
0.01553343904495705,0.01694626655196771,0.9807774056421487,0.8754927932250057,1.0
0.015468169787491206,0.016173776959767565,0.98214607754734,0.8833235120801414,1.0
0.02162675591025618,0.1329750904192527,0.8648331830477908,0,0.0
0.0793883543368429,0.04145532846761246,0.939111812443643,0.6894331378636311,1.0
0.03789175688521937,0.03391621638322249,0.9499549143372408,0.7297955209347614,1.0
0.03101942049106583,0.028147858671533566,0.959973592683241,0.7715299351114869,1.0
0.024921763309976086,0.019588518512124817,0.9741948988792992,0.8396919075722716,1.0
0.022158129677409308,0.018726276377759254,0.9750805101120701,0.8443371555019111,1.0
0.01955609867669409,0.01783714395831339,0.9782461677186655,0.8613704927452952,1.0
0.0182230026499019,0.021376909064905098,0.9735572587917042,0.8363788533965686,1.0
0.01847294427599991,0.018501874093199148,0.9770127528017519,0.854652820199552,1.0
0.018017864824505524,0.018463647941825912,0.9773251320365838,0.8563442352029054,1.0
0.01745031817801646,0.017012459094403312,0.9794216153548886,0.8678714693354287,1.0
0.01682417899108259,0.019335161494091153,0.976226974107948,0.8504275236049763,1.0
0.016179928379133342,0.01809961811367733,0.9778951436300399,0.8594479482349087,1.0
0.016483353727671783,0.019454545814854403,0.9751288161793121,0.8445920112687393,1.0
0.016141351263213435,0.018304622775952642,0.9780787066855597,0.8604522437934357,1.0
0.020703728463849984,0.022124679301244517,0.9731450470179055,0.8342509590348035,1.0
0.017658779716002757,0.02219935155667675,0.971109751384774,0.8239012229354377,1.0
0.016306105586118065,0.018475742753750333,0.9782944737859075,0.8616357365741502,1.0
0.0157034614161239,0.020899890111371253,0.972890635063764,0.8329430442548125,1.0
0.01603417285019532,0.01987914615815195,0.9766971531624372,0.8529507397171192,1.0
