x y z track_id event_id
68.145 -103.949936 -427.2594 0 0
78.54466 -121.68134 -470.20367 0 0
89.022224 -139.44832 -513.3667 0 0
99.7798 -156.93411 -556.3429 0 0
110.60171 -174.47534 -599.46436 0 0
121.48868 -192.0701 -642.6916 0 0
132.65694 -209.37459 -685.606 0 0
144.01208 -226.53632 -728.7156 0 0
155.46951 -243.68665 -771.8824 0 0
167.05229 -260.7867 -815.21405 0 0
178.75743 -277.8385 -858.2658 0 0
190.60284 -294.8114 -901.3069 0 0
202.84465 -311.30966 -944.5498 0 0
214.94289 -328.1623 -987.7335 0 0
227.38222 -344.6238 -1031.0448 0 0
239.96753 -360.9918 -1074.2919 0 0
252.56442 -377.46494 -1117.4087 0 0
265.498 -393.55453 -1160.7039 0 0
278.41116 -409.79037 -1204.0106 0 0
291.44308 -425.96158 -1247.1478 0 0
304.9049 -441.6142 -1290.7411 0 0
318.23752 -457.55963 -1334.1056 0 0
331.8973 -473.1356 -1377.3206 0 0
345.5185 -488.8637 -1420.8151 0 0
359.463 -504.2278 -1464.1962 0 0
373.49234 -519.5639 -1507.8661 0 0
387.71283 -534.72125 -1551.0055 0 0
402.0579 -549.79047 -1594.7418 0 0
416.46292 -564.85657 -1638.1954 0 0
430.98593 -579.83673 -1681.7114 0 0
445.70865 -594.6191 -1725.4375 0 0
460.73166 -609.07056 -1768.9711 0 0
475.71255 -623.64343 -1812.9271 0 0
490.8223 -638.1074 -1856.469 0 0
506.2573 -652.207 -1900.0686 0 0
91.88078 -87.68851 -57.18448 1 0
105.59799 -103.05551 -43.588028 1 0
119.45234 -118.29999 -29.890667 1 0
133.52034 -133.3429 -16.472088 1 0
147.74043 -148.24275 -2.8044968 1 0
162.00604 -163.10596 10.662169 1 0
176.3088 -177.94095 24.232811 1 0
190.67456 -192.72089 38.083263 1 0
205.05585 -207.49254 51.45841 1 0
219.85559 -221.84758 65.20961 1 0
234.56572 -236.29831 78.60671 1 0
249.36938 -250.65842 92.15885 1 0
264.2827 -264.91052 106.04855 1 0
279.33337 -279.02597 119.57108 1 0
294.52707 -292.9983 133.06749 1 0
309.81906 -306.8713 146.7929 1 0
325.18912 -320.6638 160.27225 1 0
340.6124 -334.39883 173.93166 1 0
356.1719 -347.99356 187.4308 1 0
371.83728 -361.4769 201.03831 1 0
387.55777 -374.897 214.74266 1 0
403.4388 -388.15063 228.44609 1 0
419.34534 -401.3669 242.05573 1 0
435.49585 -414.3357 255.8154 1 0
451.5369 -427.39273 269.51733 1 0
467.97305 -440.0588 283.0949 1 0
484.2318 -452.8733 296.7043 1 0
500.7607 -465.41443 310.28027 1 0
517.1344 -478.0772 323.9146 1 0
533.85455 -490.3955 337.78574 1 0
550.6201 -502.64728 351.2453 1 0
567.269 -514.97784 365.02292 1 0
584.2843 -526.9467 378.78104 1 0
601.29565 -538.8895 392.44025 1 0
618.2273 -550.871 406.09244 1 0
-63.14795 -101.67996 109.99362 2 0
-72.752266 -119.87053 148.93962 2 0
-82.125465 -138.20804 188.25069 2 0
-91.25141 -156.71884 227.44402 2 0
-100.160034 -175.35034 266.64868 2 0
-108.922066 -193.97308 305.55 2 0
-117.297874 -213.01141 344.93918 2 0
-125.58902 -231.92131 384.31497 2 0
-133.72519 -250.81851 423.41064 2 0
-141.67778 -269.74783 462.72388 2 0
-149.23802 -289.10635 501.8064 2 0
-156.69106 -308.34497 541.34705 2 0
-163.85178 -327.8192 580.6876 2 0
-170.86041 -347.24655 619.8502 2 0
-177.58154 -366.89572 658.9405 2 0
-184.115 -386.5591 698.64124 2 0
-190.3188 -406.53174 738.0806 2 0
-196.39592 -426.37964 777.60114 2 0
-202.21689 -446.3734 816.9913 2 0
-207.90674 -466.23108 856.6414 2 0
-213.23242 -486.46854 896.1068 2 0
-218.40051 -506.61722 935.6647 2 0
-223.33626 -526.84015 975.31995 2 0
-227.97807 -547.28015 1015.06934 2 0
-232.41803 -567.71497 1054.8953 2 0
-236.66975 -588.10156 1094.3845 2 0
-240.60077 -608.7637 1134.3525 2 0
-244.26633 -629.56494 1174.1102 2 0
-247.81497 -650.11456 1214.275 2 0
-251.05946 -670.8897 1254.1343 2 0
-254.0458 -691.769 1294.0494 2 0
-256.77518 -712.746 1334.1427 2 0
-259.29367 -733.6869 1374.048 2 0
-261.61865 -754.53046 1414.2073 2 0
-263.58997 -775.7327 1454.5542 2 0
-125.65193 -19.275106 -162.40262 3 0
-145.5307 -24.936213 -165.08385 3 0
-165.3317 -30.728727 -167.47922 3 0
-185.09854 -36.646015 -170.09781 3 0
-204.90523 -42.672535 -172.43791 3 0
-224.36702 -48.889874 -175.09882 3 0
-244.053 -55.17701 -177.63031 3 0
-263.4951 -61.63668 -180.27832 3 0
-283.08844 -68.177895 -182.56125 3 0
-302.46997 -74.88623 -184.92776 3 0
-322.10764 -81.646034 -187.84113 3 0
-341.29428 -88.6351 -190.36884 3 0
-360.94696 -95.61715 -192.82143 3 0
-380.20267 -102.81687 -195.52245 3 0
-399.65207 -110.076866 -198.08365 3 0
-418.78943 -117.53515 -200.74298 3 0
-438.00403 -125.08424 -203.10971 3 0
-457.11478 -132.77466 -205.71127 3 0
-476.1654 -140.59398 -208.28287 3 0
-495.40686 -148.46684 -210.77888 3 0
-514.52814 -156.48434 -213.29344 3 0
-533.51154 -164.65262 -215.74484 3 0
-552.1359 -173.04185 -218.48444 3 0
-571.1429 -181.42021 -220.85777 3 0
-590.1373 -189.90895 -223.52853 3 0
-609.00104 -198.5458 -226.06844 3 0
-627.52606 -207.40024 -228.56015 3 0
-646.2377 -216.29974 -231.08134 3 0
-664.72125 -225.38144 -233.72435 3 0
-683.4863 -234.4724 -236.52602 3 0
-702.0243 -243.7447 -238.91429 3 0
-720.4375 -253.16422 -241.27267 3 0
-738.8371 -262.6919 -243.93321 3 0
-757.203 -272.3341 -246.35127 3 0
-775.5182 -282.09644 -248.89069 3 0
15.921893 148.79315 -18.420378 4 0
18.38834 169.42572 0.85799885 4 0
21.088358 189.6941 20.656261 4 0
23.973492 210.04495 39.965607 4 0
27.042019 230.48367 59.298836 4 0
30.299025 250.95671 79.09643 4 0
33.800602 271.00595 98.69671 4 0
37.455914 291.37222 118.19452 4 0
41.30039 311.75546 137.7435 4 0
45.351665 332.02008 156.9993 4 0
49.6199 352.09967 176.46248 4 0
54.03241 372.50653 196.23332 4 0
58.710403 392.3965 215.9943 4 0
63.541325 412.5401 235.40497 4 0
68.56851 432.6374 255.09526 4 0
73.7764 452.7826 274.55414 4 0
79.22413 472.6136 294.1017 4 0
84.82545 492.65134 313.4792 4 0
90.66983 512.3683 333.25882 4 0
96.64623 532.39575 352.9551 4 0
102.84463 552.2216 372.5669 4 0
109.23449 572.0154 392.18713 4 0
115.84537 591.623 411.98602 4 0
122.64262 611.2251 431.5604 4 0
129.6142 630.87506 451.31122 4 0
136.80441 650.3536 471.0061 4 0
144.19173 669.7666 490.7851 4 0
151.7126 689.40173 510.36935 4 0
159.47737 708.7484 530.1314 4 0
167.45425 727.9577 550.0001 4 0
175.5566 747.4015 569.66125 4 0
183.92706 766.4647 589.5936 4 0
192.45453 785.6188 609.3357 4 0
201.22054 804.52606 629.00543 4 0
210.12418 823.5911 649.00464 4 0
68.07328 -90.387856 919.635 5 1
81.82133 -105.70536 1045.4509 5 1
95.150406 -121.46891 1171.3889 5 1
108.24986 -137.42311 1297.0785 5 1
121.02644 -153.67924 1423.2988 5 1
133.61136 -170.06293 1549.0282 5 1
145.89258 -186.70836 1675.2906 5 1
157.71748 -203.80495 1801.452 5 1
169.43768 -220.89288 1927.8524 5 1
180.87314 -238.19437 2054.3455 5 1
191.96855 -255.77449 2181.0862 5 1
202.74922 -273.593 2307.8167 5 1
-124.06159 77.47723 200.41219 6 1
-141.04726 89.19629 210.22652 6 1
-157.84467 100.93194 219.9679 6 1
-175.28372 112.153145 229.57487 6 1
-192.54428 123.38119 239.40526 6 1
-209.95454 134.40399 249.11174 6 1
-227.54305 145.20099 258.78787 6 1
-245.11969 155.89099 268.54816 6 1
-263.1441 166.17986 278.3378 6 1
-281.06662 176.41411 288.08997 6 1
-299.188 186.40123 297.84064 6 1
-317.35617 196.23407 307.36365 6 1
-335.61368 205.8831 317.12973 6 1
-354.07697 215.27483 327.0558 6 1
-372.6051 224.49324 336.81064 6 1
-391.41104 233.40819 346.70673 6 1
-410.13266 242.23418 356.3303 6 1
-429.09753 250.77388 366.09503 6 1
-448.19003 259.09436 375.79855 6 1
-467.14252 267.34683 385.7827 6 1
-486.49576 275.21835 395.51907 6 1
-505.7186 283.00946 405.5357 6 1
-525.19 290.50372 415.16644 6 1
-544.7364 297.7966 424.92892 6 1
-564.46094 304.8296 434.9106 6 1
-584.1554 311.7131 444.77054 6 1
-603.92255 318.38818 454.5154 6 1
-623.95514 324.75177 464.5556 6 1
-643.95593 330.95767 474.3746 6 1
-664.06854 336.92834 484.18777 6 1
-684.59576 342.51035 494.25674 6 1
-704.84283 348.0511 503.94467 6 1
-725.31537 353.2945 514.04553 6 1
-745.7328 358.37598 523.88293 6 1
-765.93256 363.36758 533.9792 6 1
-137.26227 -55.178917 211.8622 7 1
-155.66463 -64.484184 223.41754 7 1
-174.2516 -73.79739 234.83528 7 1
-192.37341 -83.39349 246.28432 7 1
-210.43459 -93.10426 257.88718 7 1
-228.57776 -102.864845 269.23587 7 1
-246.796 -112.67477 280.88025 7 1
-264.7762 -122.67607 292.37744 7 1
-282.79385 -132.74242 304.0722 7 1
-300.58185 -142.99863 315.29898 7 1
-318.45978 -153.29335 327.01416 7 1
-336.15082 -163.75835 338.63495 7 1
-354.0124 -174.21925 349.98776 7 1
-371.7686 -184.80916 361.47058 7 1
-389.23566 -195.62068 373.2339 7 1
-406.6898 -206.51657 384.59763 7 1
-424.32758 -217.39485 396.27 7 1
-441.63605 -228.51675 407.7043 7 1
-459.1807 -239.59045 419.3659 7 1
-476.51865 -250.84442 430.79562 7 1
-493.659 -262.2754 442.4726 7 1
-510.6554 -273.85596 454.09634 7 1
-527.83136 -285.41168 465.6345 7 1
-545.0518 -297.01242 477.10245 7 1
-561.5267 -309.09058 488.76013 7 1
-578.6438 -320.88538 500.42987 7 1
-595.6948 -332.78262 511.83984 7 1
-612.3724 -344.95493 523.4 7 1
-628.95807 -357.24603 535.04315 7 1
-645.71625 -369.50433 546.5612 7 1
-662.23303 -381.9648 558.1091 7 1
-678.4736 -394.64948 569.8449 7 1
-695.2895 -407.06174 581.3963 7 1
-711.42773 -419.93192 592.8231 7 1
-727.7198 -432.7732 604.4899 7 1
-139.85616 -13.802175 -218.09164 8 2
-160.44005 -11.972211 -208.34003 8 2
-180.94884 -9.712916 -198.06802 8 2
-201.4417 -7.018744 -188.18999 8 2
-221.89658 -3.8906262 -178.17319 8 2
-242.2136 -0.32843977 -168.10367 8 2
-262.603 3.6693368 -158.11162 8 2
-282.9435 8.100626 -148.22304 8 2
-303.1176 12.970109 -137.90256 8 2
-323.28836 18.272696 -127.90431 8 2
-343.39252 24.009779 -117.79001 8 2
-363.3167 30.19 -107.67495 8 2
-383.29648 36.794003 -97.40241 8 2
-403.0189 43.84959 -87.25956 8 2
-422.72586 51.332767 -77.06785 8 2
-442.43182 59.2374 -67.05438 8 2
-461.813 67.60581 -56.916084 8 2
-481.01532 76.421455 -46.65889 8 2
-500.19482 85.65838 -36.25544 8 2
-519.3555 95.3104 -26.021965 8 2
-537.9932 105.47036 -15.549004 8 2
-556.79596 116.00721 -5.1590853 8 2
-575.20026 127.03169 5.031281 8 2
-593.4364 138.49696 15.568402 8 2
-611.7259 150.34642 25.911697 8 2
-629.7829 162.64294 36.56626 8 2
-647.15497 175.50847 47.20067 8 2
-664.7433 188.70335 57.87651 8 2
-682.0918 202.34402 68.415825 8 2
