x y z track_id event_id
-98.886406 112.744095 161.77145 0 0
-111.89354 128.7394 166.82152 0 0
-124.83993 144.76521 171.80168 0 0
-137.61325 160.9495 176.39262 0 0
-150.28378 177.20895 181.29161 0 0
-162.9059 193.47655 186.38014 0 0
-175.29236 209.97253 191.12334 0 0
-187.66188 226.43414 195.99637 0 0
-199.83844 243.07054 200.86378 0 0
-211.68015 260.05603 205.78096 0 0
-223.62709 276.85025 210.82474 0 0
-235.41995 293.76785 215.77008 0 0
-246.9923 310.89124 220.62451 0 0
-258.50177 328.0213 225.42613 0 0
-269.81168 345.32883 230.39497 0 0
-280.97504 362.74567 235.28346 0 0
-292.12894 380.09186 240.32047 0 0
-302.9752 397.7528 245.1258 0 0
-313.92838 415.1834 250.31268 0 0
-324.42557 433.12518 254.87558 0 0
-334.90613 450.99533 259.9794 0 0
-345.27322 468.91925 264.97412 0 0
-355.28683 487.22293 269.79843 0 0
-365.41864 505.26007 274.7888 0 0
-375.3206 523.5047 279.60184 0 0
-385.16043 541.722 284.5134 0 0
-394.74774 560.1772 289.77386 0 0
-404.2369 578.6513 294.65717 0 0
-413.45676 597.3879 299.59354 0 0
-422.77722 615.8504 304.44888 0 0
-431.6684 634.80646 309.4597 0 0
-440.70602 653.4108 314.64246 0 0
-449.2866 672.55316 319.4035 0 0
-457.84827 691.582 324.2991 0 0
-466.23007 710.7351 329.4363 0 0
8.796125 -140.5257 5.6957026 1 0
11.9007 -160.93942 -11.5124445 1 0
15.3553505 -181.35136 -28.929619 1 0
19.16221 -201.71964 -46.04241 1 0
23.353558 -221.73082 -63.401867 1 0
27.85851 -242.07346 -80.44894 1 0
32.73315 -262.20074 -98.28209 1 0
38.010803 -281.89273 -115.413155 1 0
43.54661 -302.22214 -132.74153 1 0
49.51765 -321.89877 -150.13316 1 0
55.783455 -341.8788 -167.62402 1 0
62.397236 -361.78506 -185.13979 1 0
69.41413 -381.30713 -202.44673 1 0
76.74839 -400.9307 -219.86447 1 0
84.46998 -420.2741 -237.19202 1 0
92.50338 -439.71487 -255.0494 1 0
100.938156 -458.81387 -272.469 1 0
109.66746 -478.05988 -289.967 1 0
118.79775 -496.97028 -307.6691 1 0
128.26857 -515.8074 -325.40082 1 0
138.0046 -534.8513 -343.0544 1 0
148.25854 -553.1164 -360.95215 1 0
158.77676 -571.57776 -378.5821 1 0
169.62173 -589.9778 -396.50195 1 0
180.84567 -608.12646 -414.26736 1 0
192.45064 -626.0206 -432.1967 1 0
204.38475 -643.8269 -450.0426 1 0
216.56377 -661.7894 -468.11047 1 0
229.22244 -679.1775 -486.171 1 0
242.2335 -696.38574 -504.29422 1 0
255.58624 -713.43774 -522.30914 1 0
269.2062 -730.5267 -540.5829 1 0
283.3115 -747.05164 -559.0011 1 0
297.72287 -763.4958 -577.2854 1 0
312.44016 -779.843 -595.5871 1 0
-112.13634 -91.50962 -68.93837 2 0
-126.481476 -106.3354 -96.93498 2 0
-140.6402 -121.374466 -124.79823 2 0
-154.61804 -136.60892 -152.77731 2 0
-168.2065 -152.21385 -180.60742 2 0
-181.54912 -168.05582 -208.65144 2 0
-194.54588 -184.21927 -236.69022 2 0
-207.48796 -200.41852 -264.78912 2 0
-219.78604 -217.21251 -292.86554 2 0
-232.06015 -233.98961 -321.14172 2 0
-243.90587 -251.14026 -349.1176 2 0
-255.49219 -268.4861 -377.54968 2 0
-266.59927 -286.25107 -405.78073 2 0
-277.6216 -304.0049 -433.93582 2 0
-288.0852 -322.25278 -462.47247 2 0
-298.3397 -340.6024 -490.8753 2 0
-308.17776 -359.2774 -519.30457 2 0
-317.83286 -377.99643 -547.88416 2 0
-326.9617 -397.15485 -576.4719 2 0
-335.86746 -416.38034 -605.16656 2 0
-344.42728 -435.80835 -633.93115 2 0
-352.49762 -455.61285 -662.79614 2 0
-360.43954 -475.31714 -691.552 2 0
-367.7934 -495.5095 -720.5155 2 0
-374.77463 -515.9004 -749.6954 2 0
-381.48346 -536.33685 -778.8031 2 0
-387.7859 -556.9893 -808.0018 2 0
-393.5581 -578.02875 -837.0356 2 0
-399.0778 -599.03876 -867.0763 2 0
-404.07465 -620.40625 -896.32697 2 0
-408.7241 -641.8545 -926.00867 2 0
-412.99396 -663.4142 -955.7735 2 0
-416.8767 -685.079 -985.55225 2 0
-420.26938 -707.00244 -1015.7238 2 0
-423.20413 -729.12054 -1045.5287 2 0
-117.97759 92.37771 -23.542362 3 0
-134.61526 104.54192 -45.033073 3 0
-151.19159 116.71684 -66.47694 3 0
-167.88965 128.7595 -87.57037 3 0
-184.61781 140.7401 -109.149895 3 0
-201.43326 152.61427 -130.39021 3 0
-218.4096 164.32646 -152.11658 3 0
-235.2671 176.0866 -173.2423 3 0
-252.37462 187.6176 -194.87822 3 0
-269.36972 199.18909 -216.27711 3 0
-286.79517 210.39983 -237.61115 3 0
-304.02548 221.71043 -259.21402 3 0
-321.2431 232.98466 -280.56055 3 0
-338.57318 244.13087 -301.80576 3 0
-355.89066 255.23872 -323.17224 3 0
-373.50443 266.08676 -344.7318 3 0
-390.91296 277.03256 -366.33612 3 0
-408.6228 287.7157 -387.39526 3 0
-426.41974 298.2885 -409.2692 3 0
-444.04785 308.92886 -430.341 3 0
-461.6984 319.5012 -452.27985 3 0
-479.69608 329.78122 -473.4974 3 0
