x y z track_id event_id time_left time_right
-58.469337 120.096886 -141.03496 0 6 0.231 0.6920769230769231
-66.85416 139.12283 -152.8057 0 6 0.231 0.6920769230769231
-75.173904 157.94035 -164.17247 0 6 0.231 0.6920769230769231
-83.33054 176.74356 -175.64647 0 6 0.231 0.6920769230769231
-91.14013 195.91942 -187.23582 0 6 0.231 0.6920769230769231
-106.20047 234.3515 -210.1344 0 6 0.231 0.6920769230769231
-113.35575 253.80745 -221.83784 0 6 0.231 0.6920769230769231
-120.40416 273.09708 -233.31682 0 6 0.231 0.6920769230769231
-127.145294 292.66617 -244.84875 0 6 0.231 0.6920769230769231
-133.69212 312.2551 -256.2806 0 6 0.231 0.6920769230769231
-140.06236 331.8144 -267.95395 0 6 0.231 0.6920769230769231
-146.13045 351.6368 -279.38956 0 6 0.231 0.6920769230769231
-151.952 371.59033 -291.155 0 6 0.231 0.6920769230769231
-157.5342 391.65497 -302.8452 0 6 0.231 0.6920769230769231
-162.99649 411.52606 -314.35727 0 6 0.231 0.6920769230769231
-168.16426 431.63394 -325.82214 0 6 0.231 0.6920769230769231
-173.019 452.03036 -337.60004 0 6 0.231 0.6920769230769231
-177.71352 472.3158 -349.16592 0 6 0.231 0.6920769230769231
-182.24934 492.47174 -360.83414 0 6 0.231 0.6920769230769231
-186.45126 512.9646 -372.5651 0 6 0.231 0.6920769230769231
-190.5275 533.2209 -384.08344 0 6 0.231 0.6920769230769231
-194.27115 553.80896 -395.60297 0 6 0.231 0.6920769230769231
-197.71014 574.65753 -407.39087 0 6 0.231 0.6920769230769231
-201.10535 595.00055 -419.1407 0 6 0.231 0.6920769230769231
-204.0322 616.0809 -430.6645 0 6 0.231 0.6920769230769231
-206.9359 636.5635 -442.52087 0 6 0.231 0.6920769230769231
-209.42715 657.62524 -454.3838 0 6 0.231 0.6920769230769231
-211.83304 678.24536 -465.97803 0 6 0.231 0.6920769230769231
-213.88889 699.25244 -477.76254 0 6 0.231 0.6920769230769231
-215.71956 720.2453 -489.4826 0 6 0.231 0.6920769230769231
-217.28978 741.33417 -501.32147 0 6 0.231 0.6920769230769231
-218.63629 762.38824 -513.2538 0 6 0.231 0.6920769230769231
-219.72049 783.5336 -524.94366 0 6 0.231 0.6920769230769231
-220.58275 804.62006 -536.5854 0 6 0.231 0.6920769230769231
-148.27855 19.23113 -73.63345 1 2 0.0 0.38438461538461544
-168.49464 20.87302 -86.530045 1 2 0.0 0.38438461538461544
-189.37244 22.241892 -98.9825 1 2 0.0 0.38438461538461544
-209.44525 23.51293 -111.95683 1 2 0.0 0.38438461538461544
-230.13287 24.520863 -124.58671 1 2 0.0 0.38438461538461544
-251.11699 25.307467 -137.59714 1 2 0.0 0.38438461538461544
-271.63144 25.950119 -150.18205 1 2 0.0 0.38438461538461544
-292.1881 26.394554 -163.16098 1 2 0.0 0.38438461538461544
-312.86398 26.63441 -175.94054 1 2 0.0 0.38438461538461544
-333.60602 26.675304 -188.63809 1 2 0.0 0.38438461538461544
-354.14462 26.538012 -201.43411 1 2 0.0 0.38438461538461544
-374.7047 26.203314 -214.37659 1 2 0.0 0.38438461538461544
-395.42935 25.661877 -226.93336 1 2 0.0 0.38438461538461544
-416.0925 24.929361 -239.50873 1 2 0.0 0.38438461538461544
-436.82678 23.99723 -252.75696 1 2 0.0 0.38438461538461544
-457.536 22.871052 -265.57196 1 2 0.0 0.38438461538461544
-477.90674 21.564308 -278.3061 1 2 0.0 0.38438461538461544
-498.691 20.041553 -291.11124 1 2 0.0 0.38438461538461544
-519.5347 18.321146 -303.98492 1 2 0.0 0.38438461538461544
-539.90845 16.419853 -317.0421 1 2 0.0 0.38438461538461544
-560.92377 14.30226 -329.7738 1 2 0.0 0.38438461538461544
-581.2831 12.004399 -342.7014 1 2 0.0 0.38438461538461544
-602.1251 9.498604 -355.67056 1 2 0.0 0.38438461538461544
-622.4269 6.8030047 -368.5339 1 2 0.0 0.38438461538461544
-643.08545 3.9042244 -381.2472 1 2 0.0 0.38438461538461544
-663.8997 0.8076706 -394.27222 1 2 0.0 0.38438461538461544
-684.42316 -2.4860203 -407.22696 1 2 0.0 0.38438461538461544
-704.9157 -5.9788547 -420.1008 1 2 0.0 0.38438461538461544
-725.20917 -9.673477 -433.12146 1 2 0.0 0.38438461538461544
-746.1115 -13.558022 -445.96176 1 2 0.0 0.38438461538461544
-766.4248 -17.651114 -458.8658 1 2 0.0 0.38438461538461544
-786.9319 -21.93937 -472.11514 1 2 0.0 0.38438461538461544
-807.34955 -26.429081 -485.0132 1 2 0.0 0.38438461538461544
-827.64386 -31.122644 -498.05344 1 2 0.0 0.38438461538461544
134.25256 -67.129524 156.09283 2 5 0.15407692307692308 0.6151538461538462
152.70401 -75.94494 143.17603 2 5 0.15407692307692308 0.6151538461538462
171.43323 -84.51207 130.28792 2 5 0.15407692307692308 0.6151538461538462
190.2497 -92.92584 117.6851 2 5 0.15407692307692308 0.6151538461538462
209.24315 -101.142265 104.749565 2 5 0.15407692307692308 0.6151538461538462
228.08304 -109.320435 91.63051 2 5 0.15407692307692308 0.6151538461538462
246.95459 -117.368576 79.23902 2 5 0.15407692307692308 0.6151538461538462
266.00543 -125.215996 66.16703 2 5 0.15407692307692308 0.6151538461538462
285.3786 -132.7968 53.295013 2 5 0.15407692307692308 0.6151538461538462
304.3713 -140.43779 40.31463 2 5 0.15407692307692308 0.6151538461538462
323.70053 -147.80473 27.411337 2 5 0.15407692307692308 0.6151538461538462
342.96573 -155.08159 14.708488 2 5 0.15407692307692308 0.6151538461538462
362.43164 -162.14742 1.9794418 2 5 0.15407692307692308 0.6151538461538462
381.9176 -169.08327 -10.944258 2 5 0.15407692307692308 0.6151538461538462
401.4043 -175.8963 -23.821026 2 5 0.15407692307692308 0.6151538461538462
420.86676 -182.59573 -36.814873 2 5 0.15407692307692308 0.6151538461538462
440.61032 -189.04858 -49.668633 2 5 0.15407692307692308 0.6151538461538462
460.3389 -195.38284 -62.573803 2 5 0.15407692307692308 0.6151538461538462
480.02005 -201.61035 -75.545044 2 5 0.15407692307692308 0.6151538461538462
499.728 -207.69809 -88.57591 2 5 0.15407692307692308 0.6151538461538462
519.664 -213.56212 -101.363205 2 5 0.15407692307692308 0.6151538461538462
