x y z track_id event_id
132.00789 47.937157 -30.357994 0 0
151.38481 55.195553 -12.688568 0 0
170.70857 62.769497 5.1386924 0 0
189.4293 70.86028 23.24899 0 0
208.45474 79.12878 41.08301 0 0
227.36131 87.72777 59.016514 0 0
245.98553 96.71815 76.999565 0 0
264.468 106.043755 95.04559 0 0
282.7551 115.723495 113.051094 0 0
301.0127 125.686356 130.85281 0 0
319.07312 135.9975 148.92163 0 0
337.1819 146.548 167.09645 0 0
354.75073 157.5901 184.96524 0 0
372.43756 168.83249 203.44547 0 0
389.8714 180.43533 221.34137 0 0
406.89038 192.47389 239.40535 0 0
424.02875 204.69366 257.5279 0 0
440.7476 217.34746 275.91077 0 0
457.38965 230.2661 294.2378 0 0
473.90488 243.4678 312.5517 0 0
490.30307 256.94116 331.0067 0 0
506.1875 270.89154 349.1867 0 0
521.9601 285.10522 367.83615 0 0
537.6109 299.58017 386.0135 0 0
552.89795 314.44617 404.3503 0 0
568.2217 329.4712 423.2706 0 0
582.87415 345.06027 441.77606 0 0
597.6033 360.77255 460.36636 0 0
611.9627 376.86652 478.98126 0 0
626.17505 393.20187 497.90054 0 0
640.10986 409.853 516.8997 0 0
653.66693 426.88065 535.6452 0 0
667.1548 444.07825 554.5851 0 0
680.0827 461.7654 573.54364 0 0
692.9397 479.60898 592.5622 0 0
114.40566 80.8701 -75.89339 1 1
129.47359 94.92416 -64.80233 1 1
144.51021 109.10451 -54.074657 1 1
159.13652 123.68494 -43.115837 1 1
173.64043 138.43951 -32.185596 1 1
187.80017 153.53497 -21.264778 1 1
201.67728 168.91824 -10.547376 1 1
215.35654 184.51103 0.45024964 1 1
228.61876 200.49446 11.5299 1 1
241.75835 216.60623 22.563055 1 1
254.53589 233.0494 33.23439 1 1
266.89682 249.87238 44.429104 1 1
279.37015 266.57077 55.395847 1 1
291.2049 283.84467 66.563866 1 1
302.8771 301.2337 77.521576 1 1
314.14505 318.96704 88.65795 1 1
325.209 336.83548 99.91655 1 1
335.96375 354.9356 110.93385 1 1
346.43008 373.2363 121.98308 1 1
356.534 391.80844 133.32132 1 1
366.26694 410.6554 144.29778 1 1
375.63956 429.75903 155.72148 1 1
384.76083 448.9849 166.66945 1 1
393.38245 468.61328 178.07367 1 1
401.72153 488.3821 189.48471 1 1
409.8366 508.20428 200.83183 1 1
417.50952 528.336 211.8707 1 1
424.84808 548.63416 223.27446 1 1
431.85684 569.0796 234.86853 1 1
438.39984 589.84106 246.51125 1 1
444.53018 610.84186 258.17783 1 1
450.23434 632.09235 269.59885 1 1
455.91885 653.0016 281.13205 1 1
460.76376 674.7235 292.70438 1 1
465.48376 696.2176 304.25085 1 1
-133.51369 30.833847 -27.864729 2 1
-152.90494 37.553295 -9.94816 2 1
-172.28249 44.54313 7.8692203 2 1
-191.60828 51.808876 25.822426 2 1
-210.90536 59.34087 43.6451 2 1
-230.00082 67.18574 61.322094 2 1
-249.10968 75.2799 79.38581 2 1
-267.81543 83.74818 97.31314 2 1
-286.60913 92.43921 115.173096 2 1
-305.36523 101.38696 132.99463 2 1
-324.01447 110.61101 151.06308 2 1
-342.44516 120.14834 168.99248 2 1
-360.65848 129.99931 187.22513 2 1
-378.9757 140.0457 205.10416 2 1
-397.015 150.42372 223.11101 2 1
-414.7447 161.14772 241.13002 2 1
-432.5824 172.05429 259.31616 2 1
-450.2613 183.243 277.33997 2 1
-467.8432 194.68636 295.42728 2 1
-484.9718 206.53242 313.5218 2 1
-502.10077 218.59007 331.7024 2 1
-519.2092 230.8619 349.94272 2 1
-536.10376 243.42946 368.3403 2 1
-553.02893 256.1785 386.66104 2 1
-569.54175 269.31042 404.6702 2 1
-585.7331 282.78592 423.13373 2 1
-601.92847 296.44647 441.33252 2 1
-617.85547 310.42096 459.72342 2 1
-633.88165 324.52106 478.12192 2 1
-649.4627 339.01984 496.8047 2 1
-664.7954 353.81738 515.0907 2 1
-680.24896 368.71243 533.4872 2 1
-695.3397 383.95953 552.2938 2 1
-710.3308 399.4126 571.03217 2 1
-724.9026 415.24844 589.47473 2 1
-59.817184 -134.53104 -85.83666 3 1
-69.42848 -152.79933 -76.66043 3 1
-79.244026 -170.82828 -67.10362 3 1
-89.09351 -188.98694 -57.827553 3 1
-99.186264 -206.82768 -48.34075 3 1
-109.25223 -224.91595 -38.771408 3 1
-119.5019 -242.8102 -29.556684 3 1
-129.88113 -260.62283 -19.943918 3 1
-140.53549 -278.06467 -10.44614 3 1
-151.04108 -295.97516 -0.9329822 3 1
-161.79251 -313.57065 8.209958 3 1
-172.70683 -331.01688 17.707304 3 1
-183.7163 -348.44354 27.196886 3 1
-194.77275 -365.9384 36.74482 3 1
-206.09872 -383.08212 46.0318 3 1
-217.38335 -400.45425 55.378914 3 1
-228.85364 -417.63077 65.01543 3 1
-240.4923 -434.6452 74.51028 3 1
-252.16524 -451.7389 83.8649 3 1
-264.0284 -468.62964 93.29575 3 1
-275.92322 -485.5988 102.67224 3 1
-288.01706 -502.34897 112.20331 3 1
-300.27017 -518.95154 121.54563 3 1
-312.5252 -535.6768 130.91544 3 1
-324.9395 -552.25104 140.61537 3 1
-337.40594 -568.8554 149.98524 3 1
-350.17783 -585.0628 159.61362 3 1
-362.9354 -601.40967 168.99425 3 1
-375.77637 -617.7288 178.64105 3 1
-388.7991 -633.85754 188.05554 3 1
-402.01114 -649.78503 197.26323 3 1
-415.172 -665.89856 206.77216 3 1
-428.5497 -681.7643 216.24951 3 1
-442.075 -697.49414 225.97073 3 1
-455.70944 -713.1483 235.42896 3 1
-137.77695 -24.428867 -183.62271 4 1
-158.10905 -27.304798 -188.03229 4 1
-178.44337 -30.276516 -192.71085 4 1
-198.90808 -33.322784 -197.46094 4 1
-219.09862 -36.511543 -202.28069 4 1
-239.56058 -39.75149 -207.02193 4 1
-259.77542 -43.128914 -211.73984 4 1
-280.30832 -46.54978 -216.28008 4 1
-300.35678 -50.147457 -221.1234 4 1
-320.6846 -53.794727 -225.81433 4 1
-340.9303 -57.551743 -230.55284 4 1
-361.2322 -61.395092 -235.28392 4 1
-381.28815 -65.37618 -240.07584 4 1
-401.5296 -69.42132 -244.69435 4 1
-421.72876 -73.56923 -249.34172 4 1
-441.97906 -77.803474 -254.12422 4 1
-462.13272 -82.14987 -259.00522 4 1
-482.34375 -86.58107 -263.74457 4 1
-502.46957 -91.1224 -268.31683 4 1
-522.57007 -95.763145 -273.14267 4 1
-542.5463 -100.521576 -277.6617 4 1
-562.5886 -105.362564 -282.60345 4 1
-582.63477 -110.29727 -287.319 4 1
-602.70544 -115.321465 -292.08102 4 1
-622.54297 -120.48462 -296.75684 4 1
-642.6742 -125.68493 -301.56818 4 1
-662.64594 -131.00986 -306.37155 4 1
-682.6903 -136.41379 -310.97723 4 1
-702.34705 -141.989 -315.65372 4 1
-722.2712 -147.60397 -320.40256 4 1
-742.1319 -153.32497 -325.13376 4 1
-762.10693 -159.11504 -329.9384 4 1
-781.9319 -165.02895 -334.6534 4 1
-801.80023 -171.02615 -339.2552 4 1
-821.3 -177.19492 -344.08582 4 1
129.43611 -72.12872 -82.13336 5 1
147.25085 -82.685684 -72.20007 5 1
164.676 -93.67399 -62.15016 5 1
182.18964 -104.81842 -52.109024 5 1
199.22449 -116.43938 -41.929382 5 1
216.09639 -128.35257 -32.177032 5 1
232.94402 -140.46921 -22.105791 5 1
249.50331 -152.94154 -12.242272 5 1
265.7884 -165.75883 -1.8211311 5 1
282.04 -178.76591 8.05358 5 1
297.88156 -192.1952 17.955015 5 1
313.61337 -205.85135 28.017176 5 1
329.09424 -219.82 38.249382 5 1
344.39056 -234.05205 48.2734 5 1
359.4947 -248.5461 58.40464 5 1
374.26395 -263.39597 68.71284 5 1
388.72324 -278.58212 78.77965 5 1
403.13843 -293.908 88.886925 5 1
417.13794 -309.63608 99.03252 5 1
431.0341 -325.53125 109.26478 5 1
444.50607 -341.82837 119.567 5 1
457.7764 -358.3542 129.68759 5 1
470.8495 -375.0965 139.91447 5 1
483.68042 -392.0826 150.33 5 1
496.1424 -409.40936 160.78865 5 1
508.28122 -427.03577 171.16267 5 1
520.2096 -444.8606 181.40836 5 1
531.87396 -462.92007 191.82948 5 1
543.16003 -481.30713 202.3311 5 1
554.119 -499.97205 212.61813 5 1
564.80096 -518.8626 223.16492 5 1
575.19543 -537.9795 233.63684 5 1
585.2247 -557.38745 244.17296 5 1
594.9435 -577.0277 254.89186 5 1
604.3575 -596.88556 265.6167 5 1
138.70802 54.732986 -178.66014 6 2
158.098 61.741104 -176.7018 6 2
177.5156 68.50898 -174.87202 6 2
197.20958 74.93851 -173.01854 6 2
216.9028 81.13402 -171.16566 6 2
236.70934 87.04947 -169.55078 6 2
256.63702 92.68005 -167.74811 6 2
276.69534 98.02069 -165.749 6 2
296.6776 103.14176 -163.98328 6 2
316.81912 107.957466 -162.13676 6 2
336.94516 112.52536 -160.39995 6 2
357.37817 116.73575 -158.54366 6 2
377.49802 120.78949 -156.87431 6 2
398.27426 124.37294 -154.89214 6 2
418.6326 127.82446 -153.11801 6 2
439.27914 130.92078 -151.04787 6 2
459.95947 133.73843 -149.41408 6 2
480.522 136.31757 -147.48041 6 2
501.3069 138.55803 -145.7475 6 2
522.2579 140.47632 -143.96465 6 2
543.0557 142.15627 -141.9051 6 2
564.1097 143.487 -140.13628 6 2
584.94916 144.58719 -138.32301 6 2
605.9878 145.34972 -136.39601 6 2
627.24396 145.77155 -134.57005 6 2
648.13934 145.98465 -132.61226 6 2
669.2756 145.84703 -130.83383 6 2
690.44196 145.40541 -128.94785 6 2
711.6737 144.6505 -126.94767 6 2
732.91785 143.5913 -125.277565 6 2
754.07904 142.24338 -123.520584 6 2
775.3182 140.57315 -121.61948 6 2
796.5254 138.59888 -119.50367 6 2
817.99133 136.26895 -117.68298 6 2
839.2738 133.65712 -115.808586 6 2
-117.764015 60.778103 -178.35022 7 2
-136.50197 69.185745 -176.56798 7 2
-155.38016 77.40801 -174.8314 7 2
-174.41559 85.43763 -172.89008 7 2
-193.40224 93.37513 -171.05006 7 2
-212.58563 101.10038 -169.2496 7 2
-231.8132 108.68673 -167.46675 7 2
-250.91652 116.21091 -165.47975 7 2
-270.1163 123.56774 -163.56886 7 2
-289.50754 130.71417 -161.92163 7 2
-308.95816 137.71046 -160.056 7 2
-328.17496 144.68488 -158.39394 7 2
-347.86588 151.32388 -156.28572 7 2
-367.5193 157.85318 -154.78165 7 2
