x y z track_id event_id time_left time_right
74.68715 -128.66313 209.38345 0 9 0.8335 1.0
86.30267 -145.60168 208.72023 0 9 0.8335 1.0
98.08595 -162.46162 208.09653 0 9 0.8335 1.0
110.04957 -179.21657 207.42697 0 9 0.8335 1.0
122.03791 -196.112 206.97481 0 9 0.8335 1.0
0.0 0.0 0.0 0 9 0.8335 1.0
146.8022 -229.15193 205.73111 0 9 0.8335 1.0
159.58852 -245.28438 205.12303 0 9 0.8335 1.0
172.40593 -261.52255 204.44109 0 9 0.8335 1.0
185.37329 -277.6757 203.83533 0 9 0.8335 1.0
198.69087 -293.44293 203.30486 0 9 0.8335 1.0
212.24835 -308.9915 202.6375 0 9 0.8335 1.0
225.76657 -324.72278 202.0137 0 9 0.8335 1.0
239.51355 -340.2407 201.38206 0 9 0.8335 1.0
253.66464 -355.2988 200.80717 0 9 0.8335 1.0
267.6645 -370.67468 200.15353 0 9 0.8335 1.0
282.05734 -385.60382 199.40189 0 9 0.8335 1.0
296.56796 -400.46573 198.71889 0 9 0.8335 1.0
311.29108 -415.12787 198.13051 0 9 0.8335 1.0
326.1363 -429.70795 197.52197 0 9 0.8335 1.0
341.14975 -444.14026 196.97018 0 9 0.8335 1.0
356.38297 -458.35507 196.41672 0 9 0.8335 1.0
371.6648 -472.56894 195.87987 0 9 0.8335 1.0
387.38815 -486.27972 195.20795 0 9 0.8335 1.0
403.12573 -500.02664 194.69398 0 9 0.8335 1.0
418.91043 -513.75916 193.98553 0 9 0.8335 1.0
435.10233 -527.0327 193.22006 0 9 0.8335 1.0
451.34375 -540.28265 192.64833 0 9 0.8335 1.0
467.75052 -553.3637 192.10445 0 9 0.8335 1.0
484.2388 -566.37085 191.52177 0 9 0.8335 1.0
500.97687 -579.1029 190.64568 0 9 0.8335 1.0
518.04553 -591.46814 190.18692 0 9 0.8335 1.0
535.0433 -603.9233 189.35774 0 9 0.8335 1.0
552.2859 -616.1035 188.99847 0 9 0.8335 1.0
569.8203 -627.95734 188.1793 0 9 0.8335 1.0
119.97557 -4.9607215 4.361819 1 0 0.0 0.16649999999999998
140.29393 -8.721243 -20.440111 1 0 0.0 0.16649999999999998
160.47044 -12.980379 -44.808125 1 0 0.0 0.16649999999999998
180.85999 -17.705975 -69.372696 1 0 0.0 0.16649999999999998
200.94705 -22.941113 -93.820786 1 0 0.0 0.16649999999999998
220.81631 -28.68383 -118.262825 1 0 0.0 0.16649999999999998
240.76138 -34.895374 -143.01437 1 0 0.0 0.16649999999999998
260.41943 -41.62368 -167.63934 1 0 0.0 0.16649999999999998
280.03104 -48.83236 -192.34232 1 0 0.0 0.16649999999999998
0.0 0.0 0.0 1 0 0.0 0.16649999999999998
318.6334 -64.76573 -241.87437 1 0 0.0 0.16649999999999998
337.97714 -73.41473 -266.82736 1 0 0.0 0.16649999999999998
357.05142 -82.57382 -291.737 1 0 0.0 0.16649999999999998
375.86398 -92.24278 -316.9119 1 0 0.0 0.16649999999999998
394.50046 -102.40009 -341.81763 1 0 0.0 0.16649999999999998
412.84537 -113.073845 -366.98898 1 0 0.0 0.16649999999999998
430.85632 -124.27703 -392.16605 1 0 0.0 0.16649999999999998
449.15613 -135.82315 -417.52176 1 0 0.0 0.16649999999999998
466.6004 -148.0494 -442.96744 1 0 0.0 0.16649999999999998
484.3479 -160.5948 -468.5314 1 0 0.0 0.16649999999999998
501.47928 -173.7498 -494.25894 1 0 0.0 0.16649999999999998
518.5761 -187.31598 -519.88513 1 0 0.0 0.16649999999999998
535.2043 -201.44177 -545.94476 1 0 0.0 0.16649999999999998
551.60443 -216.03676 -571.7876 1 0 0.0 0.16649999999999998
567.6763 -231.13377 -597.89404 1 0 0.0 0.16649999999999998
583.726 -246.59915 -624.1409 1 0 0.0 0.16649999999999998
599.09625 -262.70145 -650.6917 1 0 0.0 0.16649999999999998
614.1062 -279.30618 -676.9949 1 0 0.0 0.16649999999999998
629.081 -296.2546 -703.76434 1 0 0.0 0.16649999999999998
643.35974 -313.84616 -730.73535 1 0 0.0 0.16649999999999998
657.3743 -331.87186 -757.77484 1 0 0.0 0.16649999999999998
670.9167 -350.42627 -784.6457 1 0 0.0 0.16649999999999998
684.4296 -369.2659 -812.13525 1 0 0.0 0.16649999999999998
697.2284 -388.7428 -839.64453 1 0 0.0 0.16649999999999998
709.46576 -408.77454 -867.3895 1 0 0.0 0.16649999999999998
-137.75874 -29.752575 209.87558 2 8 0.7223888888888889 1.0
-157.52605 -35.79271 200.01445 2 8 0.7223888888888889 1.0
0.0 0.0 0.0 2 8 0.7223888888888889 1.0
-196.56728 -49.48159 181.30635 2 8 0.7223888888888889 1.0
-216.09026 -57.058273 171.66576 2 8 0.7223888888888889 1.0
-235.12035 -65.24648 162.08856 2 8 0.7223888888888889 1.0
-254.23807 -73.88572 152.37187 2 8 0.7223888888888889 1.0
-273.00803 -83.09299 142.98944 2 8 0.7223888888888889 1.0
-291.40768 -92.87696 133.14313 2 8 0.7223888888888889 1.0
-309.8152 -103.11379 123.67725 2 8 0.7223888888888889 1.0
-327.85962 -113.91734 113.79645 2 8 0.7223888888888889 1.0
-345.8696 -125.169014 104.27753 2 8 0.7223888888888889 1.0
-363.73557 -136.89508 94.407074 2 8 0.7223888888888889 1.0
-380.9073 -149.30003 84.75688 2 8 0.7223888888888889 1.0
-397.9816 -162.15399 74.79767 2 8 0.7223888888888889 1.0
-414.91245 -175.46135 64.94322 2 8 0.7223888888888889 1.0
-431.26218 -189.40012 54.978634 2 8 0.7223888888888889 1.0
-447.46048 -203.78061 44.99287 2 8 0.7223888888888889 1.0
-463.32782 -218.67157 35.049755 2 8 0.7223888888888889 1.0
-478.81094 -234.09076 24.937313 2 8 0.7223888888888889 1.0
-493.99356 -249.9891 14.9583645 2 8 0.7223888888888889 1.0
-508.66867 -266.46268 4.885712 2 8 0.7223888888888889 1.0
-523.1641 -283.33136 -5.4155464 2 8 0.7223888888888889 1.0
-537.1044 -300.78372 -15.681045 2 8 0.7223888888888889 1.0
-550.4973 -318.81256 -26.046253 2 8 0.7223888888888889 1.0
0.0 0.0 0.0 2 8 0.7223888888888889 1.0
-576.27563 -356.18988 -46.853497 2 8 0.7223888888888889 1.0
