x y z track_id event_id time_left time_right
149.72363 -7.7231927 -131.66437 0 2 0.031343750000000004 0.21865625
170.30858 -8.386002 -159.15575 0 2 0.031343750000000004 0.21865625
191.03001 -8.908152 -186.40166 0 2 0.031343750000000004 0.21865625
211.55838 -9.305118 -213.95093 0 2 0.031343750000000004 0.21865625
231.94345 -9.5731535 -241.46402 0 2 0.031343750000000004 0.21865625
252.5868 -9.695496 -268.97333 0 2 0.031343750000000004 0.21865625
273.36426 -9.678665 -296.59457 0 2 0.031343750000000004 0.21865625
0.0 0.0 0.0 0 2 0.031343750000000004 0.21865625
314.47318 -9.256894 -351.69376 0 2 0.031343750000000004 0.21865625
335.01938 -8.8434305 -378.98785 0 2 0.031343750000000004 0.21865625
0.0 0.0 0.0 0 2 0.031343750000000004 0.21865625
376.38562 -7.604816 -433.84232 0 2 0.031343750000000004 0.21865625
396.98013 -6.7850876 -461.62424 0 2 0.031343750000000004 0.21865625
0.0 0.0 0.0 0 2 0.031343750000000004 0.21865625
438.22424 -4.739247 -516.47107 0 2 0.031343750000000004 0.21865625
458.85825 -3.5135202 -544.21606 0 2 0.031343750000000004 0.21865625
479.33398 -2.1533964 -571.6309 0 2 0.031343750000000004 0.21865625
500.15936 -0.6566814 -599.131 0 2 0.031343750000000004 0.21865625
520.70483 0.9744759 -626.73566 0 2 0.031343750000000004 0.21865625
541.20575 2.7415624 -654.25165 0 2 0.031343750000000004 0.21865625
0.0 0.0 0.0 0 2 0.031343750000000004 0.21865625
582.35486 6.6819825 -709.40967 0 2 0.031343750000000004 0.21865625
602.8599 8.856438 -737.1094 0 2 0.031343750000000004 0.21865625
623.28595 11.168198 -764.5983 0 2 0.031343750000000004 0.21865625
644.0316 13.609563 -791.99615 0 2 0.031343750000000004 0.21865625
664.424 16.193783 -819.76526 0 2 0.031343750000000004 0.21865625
685.0169 18.908941 -847.493 0 2 0.031343750000000004 0.21865625
705.52386 21.761856 -874.8941 0 2 0.031343750000000004 0.21865625
725.85925 24.75621 -902.61426 0 2 0.031343750000000004 0.21865625
746.5794 27.872816 -930.3569 0 2 0.031343750000000004 0.21865625
766.8943 31.139893 -958.00665 0 2 0.031343750000000004 0.21865625
787.4528 34.532845 -985.55536 0 2 0.031343750000000004 0.21865625
807.8652 38.067543 -1013.42035 0 2 0.031343750000000004 0.21865625
0.0 0.0 0.0 0 2 0.031343750000000004 0.21865625
848.9455 45.530163 -1068.78 0 2 0.031343750000000004 0.21865625
-98.21986 -99.55407 259.9389 1 15 0.84384375 1.0
-113.59437 -113.23363 255.04147 1 15 0.84384375 1.0
-129.42137 -126.45226 249.82213 1 15 0.84384375 1.0
-145.18057 -139.72685 245.13332 1 15 0.84384375 1.0
-160.9461 -152.979 240.1166 1 15 0.84384375 1.0
-176.82106 -166.10803 235.06262 1 15 0.84384375 1.0
-192.81711 -179.10292 230.10371 1 15 0.84384375 1.0
-208.86652 -192.02615 225.19037 1 15 0.84384375 1.0
-224.98106 -204.86511 220.09892 1 15 0.84384375 1.0
-241.12625 -217.64952 215.09946 1 15 0.84384375 1.0
-257.55032 -230.15526 210.25916 1 15 0.84384375 1.0
-273.9064 -242.69348 205.2521 1 15 0.84384375 1.0
-290.34702 -255.12572 200.12221 1 15 0.84384375 1.0
-307.02386 -267.319 195.11803 1 15 0.84384375 1.0
-323.64417 -279.52866 190.24094 1 15 0.84384375 1.0
-340.3992 -291.5869 185.32327 1 15 0.84384375 1.0
0.0 0.0 0.0 1 15 0.84384375 1.0
