x y z track_id event_id time_left time_right
-41.261185 -133.26439 33.768253 0 3 0.13649999999999998 0.40895454545454546
-51.3816 -151.40178 50.525143 0 3 0.13649999999999998 0.40895454545454546
-62.151295 -169.17818 67.79291 0 3 0.13649999999999998 0.40895454545454546
-73.6054 -186.48393 84.756714 0 3 0.13649999999999998 0.40895454545454546
-85.597015 -203.66423 101.981285 0 3 0.13649999999999998 0.40895454545454546
0.0 0.0 0.0 0 3 0.13649999999999998 0.40895454545454546
-111.492935 -236.74739 136.13538 0 3 0.13649999999999998 0.40895454545454546
0.0 0.0 0.0 0 3 0.13649999999999998 0.40895454545454546
-139.83325 -268.18753 170.97476 0 3 0.13649999999999998 0.40895454545454546
-154.896 -283.26395 188.33456 0 3 0.13649999999999998 0.40895454545454546
-170.55489 -297.86798 205.81981 0 3 0.13649999999999998 0.40895454545454546
-186.85057 -311.9024 223.38927 0 3 0.13649999999999998 0.40895454545454546
-203.54749 -325.72394 241.15195 0 3 0.13649999999999998 0.40895454545454546
-221.01425 -338.70013 258.96524 0 3 0.13649999999999998 0.40895454545454546
-238.98184 -351.2329 276.7628 0 3 0.13649999999999998 0.40895454545454546
-257.51917 -363.18005 294.82422 0 3 0.13649999999999998 0.40895454545454546
-276.602 -374.54266 313.0144 0 3 0.13649999999999998 0.40895454545454546
-296.3168 -385.1728 331.44376 0 3 0.13649999999999998 0.40895454545454546
-316.56424 -395.1725 349.83762 0 3 0.13649999999999998 0.40895454545454546
-337.35864 -404.4869 368.46173 0 3 0.13649999999999998 0.40895454545454546
-358.57712 -413.22195 387.00977 0 3 0.13649999999999998 0.40895454545454546
-380.37158 -421.1567 406.14655 0 3 0.13649999999999998 0.40895454545454546
-402.53677 -428.4773 425.29877 0 3 0.13649999999999998 0.40895454545454546
-425.56158 -434.62473 444.82422 0 3 0.13649999999999998 0.40895454545454546
-448.55148 -440.47745 464.25452 0 3 0.13649999999999998 0.40895454545454546
-472.50308 -444.9879 483.94965 0 3 0.13649999999999998 0.40895454545454546
-496.71127 -448.80115 504.1518 0 3 0.13649999999999998 0.40895454545454546
-521.41736 -451.63272 524.5279 0 3 0.13649999999999998 0.40895454545454546
-546.66895 -453.39328 545.34045 0 3 0.13649999999999998 0.40895454545454546
-572.28516 -454.1794 566.00464 0 3 0.13649999999999998 0.40895454545454546
-598.1964 -453.97473 587.4247 0 3 0.13649999999999998 0.40895454545454546
-624.57465 -452.57547 608.91705 0 3 0.13649999999999998 0.40895454545454546
-651.566 -449.8156 631.12897 0 3 0.13649999999999998 0.40895454545454546
-678.8083 -445.8779 653.6158 0 3 0.13649999999999998 0.40895454545454546
-706.41376 -440.59525 676.2886 0 3 0.13649999999999998 0.40895454545454546
-20.475306 -129.83505 -26.293856 1 7 0.5001363636363636 0.7725909090909091
-25.821667 -149.77286 -30.822334 1 7 0.5001363636363636 0.7725909090909091
-31.3719 -169.49088 -35.397045 1 7 0.5001363636363636 0.7725909090909091
-37.072746 -189.28937 -40.20798 1 7 0.5001363636363636 0.7725909090909091
-42.915546 -209.18839 -44.60925 1 7 0.5001363636363636 0.7725909090909091
-48.99052 -228.74615 -49.229095 1 7 0.5001363636363636 0.7725909090909091
-55.20384 -248.41653 -53.870655 1 7 0.5001363636363636 0.7725909090909091
-61.57231 -268.10718 -58.358505 1 7 0.5001363636363636 0.7725909090909091
-68.10752 -287.76083 -63.153904 1 7 0.5001363636363636 0.7725909090909091
-74.86037 -307.16562 -67.48939 1 7 0.5001363636363636 0.7725909090909091
-81.79957 -326.4604 -72.14918 1 7 0.5001363636363636 0.7725909090909091
-88.83914 -345.982 -76.72667 1 7 0.5001363636363636 0.7725909090909091
-96.08486 -365.30585 -81.466736 1 7 0.5001363636363636 0.7725909090909091
-103.479095 -384.65402 -86.0131 1 7 0.5001363636363636 0.7725909090909091
-111.04334 -403.94098 -90.74928 1 7 0.5001363636363636 0.7725909090909091
-118.80513 -423.06708 -95.21881 1 7 0.5001363636363636 0.7725909090909091
-126.737885 -442.12924 -99.77391 1 7 0.5001363636363636 0.7725909090909091
-134.8157 -461.2143 -104.36267 1 7 0.5001363636363636 0.7725909090909091
-143.03642 -480.32275 -108.95053 1 7 0.5001363636363636 0.7725909090909091
0.0 0.0 0.0 1 7 0.5001363636363636 0.7725909090909091
-160.09572 -517.97156 -118.26785 1 7 0.5001363636363636 0.7725909090909091
-168.87045 -536.7243 -122.93048 1 7 0.5001363636363636 0.7725909090909091
-177.8325 -555.35077 -127.56394 1 7 0.5001363636363636 0.7725909090909091
-186.88301 -574.1556 -132.2984 1 7 0.5001363636363636 0.7725909090909091
-196.20915 -592.5592 -136.7467 1 7 0.5001363636363636 0.7725909090909091
-205.60565 -611.18604 -141.54416 1 7 0.5001363636363636 0.7725909090909091
0.0 0.0 0.0 1 7 0.5001363636363636 0.7725909090909091
0.0 0.0 0.0 1 7 0.5001363636363636 0.7725909090909091
-234.83429 -666.5018 -155.40396 1 7 0.5001363636363636 0.7725909090909091
-244.94772 -684.68164 -159.82495 1 7 0.5001363636363636 0.7725909090909091
-255.24442 -702.7386 -164.56189 1 7 0.5001363636363636 0.7725909090909091
-265.73035 -720.65656 -169.22794 1 7 0.5001363636363636 0.7725909090909091
-276.30615 -738.702 -174.06825 1 7 0.5001363636363636 0.7725909090909091
-287.02768 -756.7171 -178.6434 1 7 0.5001363636363636 0.7725909090909091
-297.97443 -774.4913 -183.23254 1 7 0.5001363636363636 0.7725909090909091
123.33223 60.777985 128.04451 2 0 0.0 0.13622727272727272
141.10399 71.108 145.1396 2 0 0.0 0.13622727272727272
159.14754 81.233086 162.43663 2 0 0.0 0.13622727272727272
176.81851 91.4816 179.29527 2 0 0.0 0.13622727272727272
195.08682 101.354454 196.64948 2 0 0.0 0.13622727272727272
213.00623 111.34042 213.58359 2 0 0.0 0.13622727272727272
231.25621 121.08577 230.843 2 0 0.0 0.13622727272727272
249.39671 130.82 248.0551 2 0 0.0 0.13622727272727272
267.6725 140.41455 265.08847 2 0 0.0 0.13622727272727272
285.9416 149.94348 282.12708 2 0 0.0 0.13622727272727272
304.16617 159.42616 299.32104 2 0 0.0 0.13622727272727272
322.60928 168.72421 316.52362 2 0 0.0 0.13622727272727272
340.88666 178.03835 333.62897 2 0 0.0 0.13622727272727272
359.63327 187.03662 350.61288 2 0 0.0 0.13622727272727272
377.92325 196.2011 367.89697 2 0 0.0 0.13622727272727272
396.64282 205.07034 385.21155 2 0 0.0 0.13622727272727272
415.27682 213.91147 402.14444 2 0 0.0 0.13622727272727272
0.0 0.0 0.0 2 0 0.0 0.13622727272727272
452.45258 231.42035 436.58713 2 0 0.0 0.13622727272727272
471.3486 239.90587 453.5645 2 0 0.0 0.13622727272727272
490.26212 248.3081 470.6686 2 0 0.0 0.13622727272727272
509.06778 256.68964 488.07574 2 0 0.0 0.13622727272727272
528.2567 264.80252 505.22714 2 0 0.0 0.13622727272727272
547.0618 273.03168 522.47266 2 0 0.0 0.13622727272727272
566.06824 281.08286 539.5857 2 0 0.0 0.13622727272727272
585.00543 289.09045 556.80927 2 0 0.0 0.13622727272727272
604.1466 296.91882 574.005 2 0 0.0 0.13622727272727272
623.4313 304.5984 591.08356 2 0 0.0 0.13622727272727272
642.6094 312.25104 608.5017 2 0 0.0 0.13622727272727272
662.12646 319.65976 625.504 2 0 0.0 0.13622727272727272
681.1904 327.20706 642.76215 2 0 0.0 0.13622727272727272
700.583 334.51508 659.92664 2 0 0.0 0.13622727272727272
719.9252 341.76562 677.304 2 0 0.0 0.13622727272727272
739.3106 348.91336 694.35376 2 0 0.0 0.13622727272727272
758.96484 355.85196 711.61993 2 0 0.0 0.13622727272727272
-141.81487 -48.638268 62.429947 3 6 0.40922727272727266 0.6816818181818182
-160.32304 -57.79383 72.44521 3 6 0.40922727272727266 0.6816818181818182
-178.65314 -67.50751 82.348274 3 6 0.40922727272727266 0.6816818181818182
-196.87747 -77.73746 91.99717 3 6 0.40922727272727266 0.6816818181818182
-214.6249 -88.61852 102.182396 3 6 0.40922727272727266 0.6816818181818182
-232.08385 -100.069824 112.1214 3 6 0.40922727272727266 0.6816818181818182
-249.42436 -112.003975 122.126305 3 6 0.40922727272727266 0.6816818181818182
-266.01318 -124.69569 132.1353 3 6 0.40922727272727266 0.6816818181818182
-282.6976 -137.74467 142.30244 3 6 0.40922727272727266 0.6816818181818182
-298.75156 -151.48174 152.43329 3 6 0.40922727272727266 0.6816818181818182
-314.61737 -165.67735 162.46207 3 6 0.40922727272727266 0.6816818181818182
-329.9191 -180.51294 172.62341 3 6 0.40922727272727266 0.6816818181818182
-344.84775 -195.87698 182.81393 3 6 0.40922727272727266 0.6816818181818182
-359.34152 -211.78943 193.09196 3 6 0.40922727272727266 0.6816818181818182
-373.51968 -228.16302 203.57967 3 6 0.40922727272727266 0.6816818181818182
-387.0418 -245.18915 213.74106 3 6 0.40922727272727266 0.6816818181818182
-400.18686 -262.6813 224.05411 3 6 0.40922727272727266 0.6816818181818182
-412.74896 -280.75482 234.77461 3 6 0.40922727272727266 0.6816818181818182
-425.09756 -299.13712 245.2367 3 6 0.40922727272727266 0.6816818181818182
-436.39395 -318.39746 255.89215 3 6 0.40922727272727266 0.6816818181818182
-447.4627 -337.9316 266.65475 3 6 0.40922727272727266 0.6816818181818182
-457.92554 -357.9873 277.24203 3 6 0.40922727272727266 0.6816818181818182
-467.79343 -378.53394 288.4834 3 6 0.40922727272727266 0.6816818181818182
-476.9557 -399.63824 299.18927 3 6 0.40922727272727266 0.6816818181818182
-485.38574 -421.30307 310.36023 3 6 0.40922727272727266 0.6816818181818182
-493.36615 -443.25333 321.4063 3 6 0.40922727272727266 0.6816818181818182
-500.58688 -465.72482 332.77423 3 6 0.40922727272727266 0.6816818181818182
-507.0256 -488.71066 344.4238 3 6 0.40922727272727266 0.6816818181818182
-512.7615 -512.10046 355.61844 3 6 0.40922727272727266 0.6816818181818182
-517.661 -535.9866 367.46713 3 6 0.40922727272727266 0.6816818181818182
-521.65125 -560.40906 379.08865 3 6 0.40922727272727266 0.6816818181818182
-524.9013 -585.14264 391.1245 3 6 0.40922727272727266 0.6816818181818182
-527.11707 -610.4611 403.23813 3 6 0.40922727272727266 0.6816818181818182
-528.50714 -636.075 415.33926 3 6 0.40922727272727266 0.6816818181818182
-528.8116 -662.2313 427.88312 3 6 0.40922727272727266 0.6816818181818182
98.7727 108.26462 -66.42933 4 11 0.8637727272727272 1.0
114.60806 121.55233 -45.195248 4 11 0.8637727272727272 1.0
130.82167 134.42087 -24.414106 4 11 0.8637727272727272 1.0
147.38945 146.88467 -3.5373874 4 11 0.8637727272727272 1.0
164.22797 159.01294 17.743448 4 11 0.8637727272727272 1.0
181.28755 170.83447 38.81489 4 11 0.8637727272727272 1.0
0.0 0.0 0.0 4 11 0.8637727272727272 1.0
216.75516 192.8654 81.28977 4 11 0.8637727272727272 1.0
0.0 0.0 0.0 4 11 0.8637727272727272 1.0
253.47798 213.18498 123.7109 4 11 0.8637727272727272 1.0
272.02795 222.90332 144.87868 4 11 0.8637727272727272 1.0
290.87668 232.15709 166.39113 4 11 0.8637727272727272 1.0
310.28983 240.72823 187.93454 4 11 0.8637727272727272 1.0
329.72552 249.03105 209.40529 4 11 0.8637727272727272 1.0
349.60495 256.72757 231.05081 4 11 0.8637727272727272 1.0
369.75986 263.93567 252.60518 4 11 0.8637727272727272 1.0
390.07248 270.72482 274.3194 4 11 0.8637727272727272 1.0
410.57562 277.05396 296.27115 4 11 0.8637727272727272 1.0
431.19073 282.95807 318.1286 4 11 0.8637727272727272 1.0
452.28992 288.17947 340.14462 4 11 0.8637727272727272 1.0
0.0 0.0 0.0 4 11 0.8637727272727272 1.0
0.0 0.0 0.0 4 11 0.8637727272727272 1.0
516.76514 300.75757 406.784 4 11 0.8637727272727272 1.0
538.4674 303.974 429.1322 4 11 0.8637727272727272 1.0
560.3117 306.64963 451.59763 4 11 0.8637727272727272 1.0
582.6592 308.57605 474.34528 4 11 0.8637727272727272 1.0
605.10834 309.9607 497.31143 4 11 0.8637727272727272 1.0
627.5209 310.85312 519.9172 4 11 0.8637727272727272 1.0
650.3868 310.99323 543.1208 4 11 0.8637727272727272 1.0
673.1856 310.62045 566.24713 4 11 0.8637727272727272 1.0
696.17755 309.5921 589.4747 4 11 0.8637727272727272 1.0
719.20703 307.96112 613.22473 4 11 0.8637727272727272 1.0
0.0 0.0 0.0 4 11 0.8637727272727272 1.0
765.80695 302.63663 660.5368 4 11 0.8637727272727272 1.0
789.26373 298.9578 684.66315 4 11 0.8637727272727272 1.0
-46.021584 -130.8316 175.62355 5 9 0.6819545454545455 0.954409090909091
-50.099037 -151.02147 157.558 5 9 0.6819545454545455 0.954409090909091
-53.948483 -171.48383 139.43504 5 9 0.6819545454545455 0.954409090909091
-57.819973 -191.42091 121.281654 5 9 0.6819545454545455 0.954409090909091
-61.43611 -211.71506 103.05584 5 9 0.6819545454545455 0.954409090909091
-64.848 -232.22337 84.75877 5 9 0.6819545454545455 0.954409090909091
-68.19685 -252.44038 66.90832 5 9 0.6819545454545455 0.954409090909091
-71.33027 -272.9137 48.901806 5 9 0.6819545454545455 0.954409090909091
-74.3627 -293.21265 30.545767 5 9 0.6819545454545455 0.954409090909091
-77.23394 -313.56122 12.405896 5 9 0.6819545454545455 0.954409090909091
-79.93376 -334.00287 -5.8093786 5 9 0.6819545454545455 0.954409090909091
-82.46563 -354.5271 -23.890642 5 9 0.6819545454545455 0.954409090909091
-84.88495 -374.89197 -41.99095 5 9 0.6819545454545455 0.954409090909091
-87.07357 -395.61694 -60.426674 5 9 0.6819545454545455 0.954409090909091
-89.15879 -416.1341 -78.30749 5 9 0.6819545454545455 0.954409090909091
-91.11652 -436.53757 -96.58817 5 9 0.6819545454545455 0.954409090909091
-92.84895 -457.2962 -114.71143 5 9 0.6819545454545455 0.954409090909091
-94.50046 -477.70526 -132.85449 5 9 0.6819545454545455 0.954409090909091
-95.95772 -498.32104 -151.29637 5 9 0.6819545454545455 0.954409090909091
-97.222145 -519.1498 -169.10655 5 9 0.6819545454545455 0.954409090909091
-98.36908 -539.7921 -187.59404 5 9 0.6819545454545455 0.954409090909091
-99.348724 -560.5096 -205.6628 5 9 0.6819545454545455 0.954409090909091
-100.197914 -581.0912 -223.99722 5 9 0.6819545454545455 0.954409090909091
-100.83631 -602.00104 -242.2777 5 9 0.6819545454545455 0.954409090909091
-101.37969 -622.5536 -260.49554 5 9 0.6819545454545455 0.954409090909091
-101.738914 -643.2769 -278.5853 5 9 0.6819545454545455 0.954409090909091
-101.95528 -663.91406 -296.87918 5 9 0.6819545454545455 0.954409090909091
-101.98505 -684.74725 -315.209 5 9 0.6819545454545455 0.954409090909091
-101.84795 -705.655 -333.4198 5 9 0.6819545454545455 0.954409090909091
-101.586044 -726.3403 -351.56625 5 9 0.6819545454545455 0.954409090909091
-101.154686 -747.1072 -369.9738 5 9 0.6819545454545455 0.954409090909091
-100.568436 -767.84937 -388.2662 5 9 0.6819545454545455 0.954409090909091
-99.81832 -788.6317 -406.49844 5 9 0.6819545454545455 0.954409090909091
-98.89333 -809.5451 -424.77692 5 9 0.6819545454545455 0.954409090909091
-97.84376 -830.17395 -443.29843 5 9 0.6819545454545455 0.954409090909091
43.46807 -120.547035 41.495564 6 9 0.6819545454545455 0.954409090909091
52.871502 -138.9748 2.5704823 6 9 0.6819545454545455 0.954409090909091
62.420162 -157.23267 -36.021523 6 9 0.6819545454545455 0.954409090909091
72.0571 -175.47292 -74.736275 6 9 0.6819545454545455 0.954409090909091
81.85665 -193.51605 -113.35657 6 9 0.6819545454545455 0.954409090909091
91.746826 -211.53802 -152.05536 6 9 0.6819545454545455 0.954409090909091
101.64078 -229.73106 -190.82233 6 9 0.6819545454545455 0.954409090909091
111.69903 -247.72568 -229.43237 6 9 0.6819545454545455 0.954409090909091
121.935555 -265.49863 -268.33218 6 9 0.6819545454545455 0.954409090909091
132.23097 -283.31274 -306.82303 6 9 0.6819545454545455 0.954409090909091
142.61725 -301.09497 -345.87375 6 9 0.6819545454545455 0.954409090909091
153.02446 -318.989 -384.33813 6 9 0.6819545454545455 0.954409090909091
