Test_loss,Acceracy,Preciion,Recall
0.01620653603840765,0.973384904219932,0.819294951471716,1.0
0.016106374755387756,0.9734939665178746,0.8199020775439989,1.0
0.015153596135144956,0.9741210747310446,0.823892674616695,0.9990961910910264
0.01562865521373169,0.9739107402992981,0.822230479324805,1.0
0.014999386948305377,0.9742418222751953,0.8240895911472881,1.0
0.015068686194184314,0.974720917369729,0.8268471065556268,0.9999031633311815
0.016062200210168763,0.9739380058737838,0.8223832656420058,1.0
0.014905313734780067,0.9740704386641427,0.8234699577093917,0.9993544222078761
0.015376624796153919,0.9738562091503268,0.8219250769394035,1.0
0.015718067533452996,0.9741327599772527,0.8234762499667738,1.0
0.01517683969608091,0.9744872124455662,0.8254729549693578,1.0
0.015096960332066374,0.9741327599772527,0.8234762499667738,1.0
0.015480679355944934,0.9733225829068218,0.8189484258108858,1.0
0.014611290284913897,0.9743158288345135,0.8245063075530952,1.0
0.014882471859564247,0.9732719468399199,0.8186670894773004,1.0
0.01530639440510034,0.9737315665241066,0.8212278655497827,1.0
0.014318796306239771,0.9744521567069419,0.8253270455332641,0.9999031633311815
0.014931995060402794,0.9737938878372168,0.821576323326615,1.0
0.014456659684668315,0.9744248911324561,0.8251731486414491,0.9999031633311815
0.013884709932547897,0.9761776780636768,0.840323022173556,0.9908650742414461
0.014369838185593835,0.9748494550780185,0.828841151071419,0.9975790832795352
0.015274522613981389,0.9736497698006497,0.8207709630414625,1.0
0.015687370929038782,0.9731473042136998,0.8179753920895602,1.0
0.014416577794472687,0.9744326812965949,0.8251651395695717,1.0
0.01517791177148562,0.973283632086128,0.8187319960886915,1.0
0.014443549049719877,0.9744326812965949,0.8251651395695717,1.0
0.014929318837045381,0.9740782288282814,0.8231699216155175,1.0
0.014312494538329095,0.9746001698255782,0.8265466876718913,0.9991930277598451
0.01468497794658712,0.9741054944027671,0.8234262016163335,0.9998063266623628
0.014717881546118102,0.9743976255579705,0.8249673794370623,1.0
0.01391639589056164,0.9748884058987123,0.8280953272527884,0.9993544222078761
0.01522299185711745,0.9734550156971807,0.819685143537505,1.0
0.014064432583363668,0.9751182157408057,0.8309825033647376,0.9964816010329245
0.01475841806641256,0.9740977042386283,0.823279298432102,1.0
0.013973488925530545,0.975316864926344,0.8322502359444519,0.9962556488056811
0.015206460580593557,0.9738523140682575,0.8219032711644072,1.0
0.01583994785968874,0.9731044583109366,0.8177378909858783,1.0
0.014226338746132872,0.9746819665490352,0.8265741728922091,1.0
0.014078937288977612,0.9749702026221693,0.8285607236525183,0.9993544222078761
0.014627925162834192,0.9741093894848365,0.8233449384750312,1.0
0.01437750544238952,0.9745300583483294,0.8257149710813187,1.0
0.013832965662574376,0.977330622356213,0.8500083467809249,0.9861523563589413
0.014616512570319174,0.9746040649076476,0.8261333333333334,1.0
0.014143405533383582,0.9753558157470378,0.8325105877909956,0.9961910910264687
