Test_loss,Acceracy,Preciion,Recall
0.033240218222878565,0.949339324473554,0.7066523480582806,0.8839311646819634
0.033391538860062915,0.9485282357869084,0.7002884313333524,0.8902846354923032
0.032722789104445836,0.952027721716614,0.7213304110887335,0.8842216090618646
0.03184703438164434,0.9544267164235939,0.7403555336090365,0.8709337786813826
0.031800383672719666,0.9544724115608697,0.7371303395399781,0.8796108045309323
0.03178225106744018,0.9549750580709037,0.7407498162215144,0.8780133604414755
0.03267780688911444,0.9516278892654507,0.7184877660984011,0.8859279697937845
0.031196436016956187,0.9560031986596093,0.7497032918983072,0.8714783618936973
0.030921549129804285,0.9578843151441301,0.769100169779287,0.8552134766192274
0.03099053722321211,0.9590495411446632,0.7789963443004321,0.8510020331106594
0.031050299760051227,0.9582955713796123,0.7676992578251048,0.8637452802788266
0.0309598395927848,0.9572331594379498,0.7585835209079669,0.8687191402846355
0.031738435256799376,0.9550854879859868,0.7454109140773522,0.8683560848097589
0.030518765928572975,0.9614904230608126,0.7966574764287416,0.8497313389485913
0.030752598235655265,0.9590876204257264,0.7773741909919429,0.8547051989544002
0.030911440615697453,0.9591523552035337,0.7772611864015564,0.8557943653790299
0.03082383116639297,0.95893911122958,0.7688556671264958,0.8700987510891665
0.03031887428049231,0.9610068161913103,0.790843081887858,0.8541243101945978
0.030183758064134356,0.9626708807737709,0.8065452534817016,0.8473351728144061
0.031430529139664334,0.9572902783595446,0.7577508366483551,0.8713694452512344
0.030295667476505816,0.9634134267545029,0.8143798639837342,0.8434141736857392
0.0307648113022636,0.9602299988576216,0.7825512227362855,0.8597153645076968
0.030392618809225194,0.9611286698907124,0.7940897061817195,0.8497313389485913
0.03069009491087248,0.9615246944137694,0.7921273031825795,0.8584446703456288
0.030847339700849262,0.9594988766612086,0.7793417922283902,0.8563026430438571
0.03148797424713848,0.9586344769810746,0.7670925801389823,0.8696630845193145
0.029747149925484943,0.9648985187159667,0.8270631067961165,0.8412358408364798
0.030728332796522106,0.9583793457979514,0.7679331699135595,0.8643987801336044
0.029904102299187798,0.9636875975781577,0.8153986268740367,0.845120534417659
0.03122446760845681,0.9570465709607403,0.7532702130310203,0.8780859715364507
0.030356288730399684,0.9628803168196185,0.8084870336985162,0.8466453674121406
0.03062822599322923,0.9619016792962949,0.7970597201991803,0.8542695323845484
0.030951095200531804,0.9629488595255321,0.8047003284072249,0.8540153935521347
0.030573372150829527,0.9621644263356308,0.7992522093813732,0.8536886436247458
0.031189685759212202,0.9623129355317772,0.8000272025570404,0.854196921289573
0.030363037347657763,0.9647880888008834,0.8271878688172812,0.8397110078419983
0.029914175430506777,0.9649327900689235,0.8247546848985087,0.8452657566076096
0.029530419268703555,0.9664369216709189,0.8402732359566892,0.8396020911995353
0.03050977263347401,0.9619169110087201,0.8003629764065335,0.8485695614289863
0.030595376208172334,0.9629145881725752,0.8073749266305286,0.8489689224513506
0.030595511940094487,0.9638246829899851,0.8129813362936238,0.8508205053732211
0.029809575185354334,0.966006625794905,0.8391939656743067,0.8361167586407203
0.03116291808861812,0.9652793115265984,0.832,0.8382224803950044
0.031185266301326918,0.9592932485434675,0.7714884020618556,0.869408945686901
0.029933488927490544,0.9656677201934427,0.8320192100924665,0.8428332849259367
0.02934108697033177,0.966882449259358,0.8444387587265616,0.8387670636073192
0.030717175026269007,0.961878831727657,0.7967168725672703,0.8545962823119373
0.03182360929456384,0.9587906020334336,0.7879528860724617,0.8306346209700842
0.03243007021218849,0.9661094398537755,0.841991341991342,0.8332486203891954
